Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Profit Prob"
NVDA,181.77,2025-09-19,24,167.50,Put,-7.85%,3.25,164.25,-9.64%,306,2568,28.45%,0.230877,2.0%,30.1%,79.11%
NVDA,181.77,2025-09-19,24,166.00,Put,-8.68%,2.93,163.07,-10.29%,280,5956,28.45%,0.213003,1.8%,27.3%,80.31%
PLTR,160.87,2025-09-19,24,152.50,Put,-5.20%,4.9,147.6,-8.25%,446,1570,18.70%,0.318236,3.3%,50.5%,73.30%
PLTR,160.87,2025-09-19,24,150.00,Put,-6.76%,4.15,145.85,-9.34%,2963,13277,18.70%,0.278529,2.8%,43.3%,75.81%
PLTR,160.87,2025-09-19,24,145.00,Put,-9.87%,2.93,142.07,-11.69%,915,6094,18.70%,0.212133,2.1%,31.4%,80.17%
PLTR,160.87,2025-09-26,31,150.00,Put,-6.76%,5.1,144.9,-9.93%,2119,3030,18.70%,0.294407,3.5%,41.4%,74.51%
PLTR,160.87,2025-09-26,31,145.00,Put,-9.87%,3.7,141.3,-12.17%,431,1219,18.70%,0.228846,2.6%,30.8%,78.84%
QQQ,572.61,2025-09-30,35,560.00,Put,-2.20%,6.48,553.52,-3.33%,1928,12258,6.89%,0.313056,1.2%,12.2%,73.04%
QQQ,572.61,2025-09-30,35,559.00,Put,-2.38%,6.26,552.74,-3.47%,2119,9552,6.89%,0.302625,1.1%,11.8%,73.71%
QQQ,572.61,2025-09-30,35,555.00,Put,-3.08%,5.44,549.56,-4.03%,424,2993,6.89%,0.265483,1.0%,10.3%,76.19%
QQQ,572.61,2025-09-30,35,550.00,Put,-3.95%,4.6,545.4,-4.75%,5047,9635,6.89%,0.225986,0.8%,8.8%,79.01%
QQQ,572.61,2025-09-19,24,560.00,Put,-2.20%,4.84,555.16,-3.05%,4711,36780,6.89%,0.289543,0.9%,13.3%,75.00%
QQQ,572.61,2025-09-19,24,558.00,Put,-2.55%,4.45,553.55,-3.33%,445,2906,6.89%,0.267542,0.8%,12.2%,76.47%
QQQ,572.61,2025-09-19,24,555.00,Put,-3.08%,3.93,551.07,-3.76%,1376,25034,6.89%,0.23776,0.7%,10.8%,78.54%
SMH,296.75,2025-09-19,24,285.00,Put,-3.96%,4.1,280.9,-5.34%,393,5354,4.90%,0.277444,1.5%,22.2%,76.02%
SMH,296.75,2025-09-19,24,280.00,Put,-5.64%,3,277,-6.66%,466,7903,4.90%,0.213332,1.1%,16.5%,80.45%
SPY,645.16,2025-09-19,24,632.00,Put,-2.04%,3.66,628.34,-2.61%,380,2560,5.89%,0.259579,0.6%,8.9%,76.97%
SPY,645.16,2025-09-19,24,630.00,Put,-2.35%,3.35,626.65,-2.87%,6564,81247,5.89%,0.237503,0.5%,8.1%,78.54%
SPY,645.16,2025-09-19,24,629.00,Put,-2.50%,3.19,625.81,-3.00%,625,2464,5.89%,0.226677,0.5%,7.8%,79.32%
SPY,645.16,2025-09-19,24,628.00,Put,-2.66%,3.05,624.95,-3.13%,1022,5227,5.89%,0.216794,0.5%,7.4%,80.05%
SPY,645.16,2025-09-30,35,630.00,Put,-2.35%,4.58,625.42,-3.06%,4847,17768,5.89%,0.264328,0.7%,7.6%,76.19%
SPY,645.16,2025-09-30,35,629.00,Put,-2.50%,4.42,624.58,-3.19%,821,1073,5.89%,0.254934,0.7%,7.4%,76.85%
SPY,645.16,2025-09-30,35,625.00,Put,-3.12%,3.83,621.17,-3.72%,1269,10050,5.89%,0.220558,0.6%,6.4%,79.38%
TLT,86.75,2025-09-19,24,85.00,Put,-2.02%,0.48,84.52,-2.57%,1139,39768,1.70%,0.258765,0.6%,8.6%,77.18%
TLT,86.75,2025-09-30,35,85.00,Put,-2.02%,0.62,84.38,-2.73%,277,23741,1.70%,0.280768,0.7%,7.7%,75.16%
TLT,86.75,2025-09-26,31,85.00,Put,-2.02%,0.57,84.43,-2.67%,1199,1972,1.70%,0.273016,0.7%,7.9%,75.86%
XLE,88.23,2025-09-19,24,85.00,Put,-3.66%,0.55,84.45,-4.28%,1235,12451,9.64%,0.224791,0.7%,9.9%,79.26%
XLF,53.67,2025-09-19,24,52.50,Put,-2.18%,0.34,52.16,-2.81%,520,2176,0.79%,0.269502,0.7%,9.9%,76.20%
XLF,53.67,2025-09-19,24,52.00,Put,-3.11%,0.27,51.73,-3.61%,394,56006,0.79%,0.207809,0.5%,7.9%,80.88%
"Downloaded from Barchart.com as of 08-26-2025 10:12pm CDT"
