Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,"Leg3 Strike",Type,Bid3,"Leg4 Strike",Type,Ask4,BE+,BE-,"Max Profit","Max Loss",Risk/Reward,"IV Rank","Loss Prob"
IWM,234.83,2025-10-17,55,212.00,Put,1.61,216.00,Put,2.04,240.00,Call,5.59,244.00,Call,4.15,241.87,214.13,1.87,2.13,"1.14 to 1",10.08%,48.8%
IWM,234.83,2025-10-17,55,215.00,Put,1.95,218.00,Put,2.33,245.00,Call,3.77,248.00,Call,2.98,246.17,216.83,1.17,1.83,"1.56 to 1",10.08%,44.6%
IWM,234.83,2025-10-17,55,215.00,Put,1.95,220.00,Put,2.66,245.00,Call,3.77,250.00,Call,2.51,246.97,218.03,1.97,3.03,"1.54 to 1",10.08%,45.1%
QQQ,571.97,2025-09-30,38,490.00,Put,0.95,500.00,Put,1.17,580.00,Call,8.32,590.00,Call,4.34,584.2,495.8,4.2,5.8,"1.38 to 1",6.92%,34.4%
QQQ,571.97,2025-09-30,38,500.00,Put,1.19,510.00,Put,1.51,580.00,Call,8.32,590.00,Call,4.34,584.3,505.7,4.3,5.7,"1.33 to 1",6.92%,34.8%
QQQ,571.97,2025-09-30,38,505.00,Put,1.35,520.00,Put,1.98,580.00,Call,8.32,595.00,Call,2.98,585.97,514.03,5.97,9.03,"1.51 to 1",6.92%,33.9%
QQQ,571.97,2025-09-30,38,510.00,Put,1.53,520.00,Put,1.98,580.00,Call,8.32,590.00,Call,4.34,584.43,515.57,4.43,5.57,"1.26 to 1",6.92%,36.0%
QQQ,571.97,2025-09-30,38,514.00,Put,1.71,520.00,Put,1.98,580.00,Call,8.32,586.00,Call,5.74,582.85,517.15,2.85,3.15,"1.11 to 1",6.92%,38.3%
QQQ,571.97,2025-09-30,38,520.00,Put,2.02,530.00,Put,2.66,580.00,Call,8.32,590.00,Call,4.34,584.62,525.38,4.62,5.38,"1.16 to 1",6.92%,38.5%
QQQ,571.97,2025-09-30,38,520.00,Put,2.02,535.00,Put,3.1,580.00,Call,8.32,595.00,Call,2.98,586.42,528.58,6.42,8.58,"1.34 to 1",6.92%,37.7%
QQQ,571.97,2025-09-30,38,525.00,Put,2.33,535.00,Put,3.1,585.00,Call,6.08,595.00,Call,2.98,588.87,531.13,3.87,6.13,"1.58 to 1",6.92%,36.1%
QQQ,571.97,2025-09-30,38,530.00,Put,2.7,535.00,Put,3.1,585.00,Call,6.08,590.00,Call,4.34,587.14,532.86,2.14,2.86,"1.34 to 1",6.92%,39.1%
QQQ,571.97,2025-10-17,55,460.00,Put,1,475.00,Put,1.29,580.00,Call,11.92,595.00,Call,5.56,586.65,468.35,6.65,8.35,"1.26 to 1",6.92%,35.0%
QQQ,571.97,2025-10-17,55,460.00,Put,1,480.00,Put,1.42,580.00,Call,11.92,600.00,Call,4.14,588.2,471.8,8.2,11.8,"1.44 to 1",6.92%,33.6%
QQQ,571.97,2025-10-17,55,475.00,Put,1.31,485.00,Put,1.57,585.00,Call,9.43,595.00,Call,5.56,589.13,480.87,4.13,5.87,"1.42 to 1",6.92%,32.9%
QQQ,571.97,2025-10-17,55,475.00,Put,1.31,490.00,Put,1.74,580.00,Call,11.92,595.00,Call,5.56,586.79,483.21,6.79,8.21,"1.21 to 1",6.92%,35.2%
QQQ,571.97,2025-10-17,55,480.00,Put,1.44,495.00,Put,1.93,585.00,Call,9.43,600.00,Call,4.14,590.78,489.22,5.78,9.22,"1.60 to 1",6.92%,31.8%
QQQ,571.97,2025-10-17,55,480.00,Put,1.44,500.00,Put,2.15,580.00,Call,11.92,600.00,Call,4.14,588.49,491.51,8.49,11.51,"1.36 to 1",6.92%,34.1%
QQQ,571.97,2025-10-17,55,480.00,Put,1.44,505.00,Put,2.4,580.00,Call,11.92,605.00,Call,3.03,589.85,495.15,9.85,15.15,"1.54 to 1",6.92%,33.2%
QQQ,571.97,2025-10-17,55,485.00,Put,1.59,495.00,Put,1.93,585.00,Call,9.43,595.00,Call,5.56,589.21,490.79,4.21,5.79,"1.38 to 1",6.92%,33.4%
QQQ,571.97,2025-10-17,55,490.00,Put,1.76,505.00,Put,2.4,580.00,Call,11.92,595.00,Call,5.56,587,498,7,8,"1.14 to 1",6.92%,36.2%
QQQ,571.97,2025-10-17,55,495.00,Put,1.95,505.00,Put,2.4,585.00,Call,9.43,595.00,Call,5.56,589.32,500.68,4.32,5.68,"1.31 to 1",6.92%,34.4%
QQQ,571.97,2025-10-17,55,495.00,Put,1.95,510.00,Put,2.69,585.00,Call,9.43,600.00,Call,4.14,591.03,503.97,6.03,8.97,"1.49 to 1",6.92%,33.4%
QQQ,571.97,2025-10-17,55,500.00,Put,2.17,520.00,Put,3.4,580.00,Call,11.92,600.00,Call,4.14,589.01,510.99,9.01,10.99,"1.22 to 1",6.92%,36.8%
QQQ,571.97,2025-10-17,55,505.00,Put,2.43,515.00,Put,3.02,585.00,Call,9.43,595.00,Call,5.56,589.46,510.54,4.46,5.54,"1.24 to 1",6.92%,36.3%
QQQ,571.97,2025-10-17,55,505.00,Put,2.43,525.00,Put,3.85,585.00,Call,9.43,605.00,Call,3.03,592.82,517.18,7.82,12.18,"1.56 to 1",6.92%,35.3%
QQQ,571.97,2025-10-17,55,505.00,Put,2.43,530.00,Put,4.34,580.00,Call,11.92,605.00,Call,3.03,590.8,519.2,10.8,14.2,"1.31 to 1",6.92%,37.9%
QQQ,571.97,2025-10-17,55,510.00,Put,2.72,525.00,Put,3.85,585.00,Call,9.43,600.00,Call,4.14,591.42,518.58,6.42,8.58,"1.34 to 1",6.92%,37.1%
QQQ,571.97,2025-10-17,55,515.00,Put,3.05,525.00,Put,3.85,585.00,Call,9.43,595.00,Call,5.56,589.67,520.33,4.67,5.33,"1.14 to 1",6.92%,39.4%
QQQ,571.97,2025-10-17,55,520.00,Put,3.43,530.00,Put,4.34,590.00,Call,7.3,600.00,Call,4.14,594.07,525.93,4.07,5.93,"1.46 to 1",6.92%,38.0%
SMH,293.64,2025-10-17,55,240.00,Put,1.61,250.00,Put,2.25,300.00,Call,10.75,310.00,Call,6.7,304.69,245.31,4.69,5.31,"1.13 to 1",5.22%,42.8%
SPY,645.31,2025-10-17,55,545.00,Put,1.06,555.00,Put,1.25,655.00,Call,8.26,665.00,Call,4.33,659.12,550.88,4.12,5.88,"1.43 to 1",6.40%,32.8%
SPY,645.31,2025-10-17,55,555.00,Put,1.26,565.00,Put,1.51,655.00,Call,8.26,665.00,Call,4.33,659.18,560.82,4.18,5.82,"1.39 to 1",6.40%,32.9%
SPY,645.31,2025-10-17,55,565.00,Put,1.52,575.00,Put,1.86,655.00,Call,8.26,665.00,Call,4.33,659.27,570.73,4.27,5.73,"1.34 to 1",6.40%,33.1%
SPY,645.31,2025-10-17,55,565.00,Put,1.52,580.00,Put,2.08,655.00,Call,8.26,670.00,Call,2.99,660.83,574.17,5.83,9.17,"1.57 to 1",6.40%,31.5%
SPY,645.31,2025-10-17,55,575.00,Put,1.88,585.00,Put,2.33,655.00,Call,8.26,665.00,Call,4.33,659.38,580.62,4.38,5.62,"1.28 to 1",6.40%,33.8%
SPY,645.31,2025-10-17,55,580.00,Put,2.1,595.00,Put,2.95,655.00,Call,8.26,670.00,Call,2.99,661.12,588.88,6.12,8.88,"1.45 to 1",6.40%,33.2%
SPY,645.31,2025-10-17,55,585.00,Put,2.35,595.00,Put,2.95,655.00,Call,8.26,665.00,Call,4.33,659.53,590.47,4.53,5.47,"1.21 to 1",6.40%,35.4%
SPY,645.31,2025-10-17,55,595.00,Put,2.97,605.00,Put,3.76,655.00,Call,8.26,665.00,Call,4.33,659.72,600.28,4.72,5.28,"1.12 to 1",6.40%,38.4%
SPY,645.31,2025-09-30,38,572.00,Put,0.9,580.00,Put,1.07,652.00,Call,6.47,660.00,Call,3.33,655.31,576.69,3.31,4.69,"1.42 to 1",6.40%,34.0%
SPY,645.31,2025-09-30,38,594.00,Put,1.6,600.00,Put,1.9,654.00,Call,5.53,660.00,Call,3.33,656.5,597.5,2.5,3.5,"1.40 to 1",6.40%,34.1%
SPY,645.31,2025-09-30,38,598.00,Put,1.8,605.00,Put,2.21,654.00,Call,5.53,661.00,Call,3.04,656.9,602.1,2.9,4.1,"1.41 to 1",6.40%,34.7%
SPY,645.31,2025-09-30,38,600.00,Put,1.91,605.00,Put,2.21,655.00,Call,5.1,660.00,Call,3.33,657.07,602.93,2.07,2.93,"1.42 to 1",6.40%,34.7%
"Downloaded from Barchart.com as of 08-24-2025 09:40pm CDT"
