Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Ptnl Rtn","Profit Prob"
CRM,248.29,2025-09-19,27,250.00,Call,-0.69%,11.15,237.14,-4.49%,275,3556,63.86%,-0.510537,4.7%,63.6%,5.4%,64.7%
CRM,248.29,2025-09-19,27,260.00,Call,-4.72%,7.5,240.79,-3.02%,1109,4426,63.86%,-0.384535,3.1%,42.1%,8.0%,59.9%
CRM,248.29,2025-09-12,20,250.00,Call,-0.69%,10.85,237.44,-4.37%,309,444,63.86%,-0.506305,4.6%,83.4%,5.3%,65.0%
CRM,248.29,2025-09-12,20,260.00,Call,-4.72%,6.85,241.44,-2.76%,208,406,63.86%,-0.373851,2.8%,51.8%,7.7%,59.5%
CSCO,67.32,2025-09-12,20,68.00,Call,-1.01%,0.87,66.45,-1.29%,685,318,16.62%,-0.424983,1.3%,23.9%,2.3%,61.9%
CSCO,67.32,2025-09-12,20,70.00,Call,-3.98%,0.25,67.07,-0.37%,73,760,16.62%,-0.179194,0.4%,6.8%,4.4%,53.7%
CSCO,67.32,2025-09-26,34,70.00,Call,-3.98%,0.55,66.77,-0.82%,289,514,16.62%,-0.26167,0.8%,8.8%,4.8%,55.8%
CSCO,67.32,2025-09-19,27,67.50,Call,-0.27%,1.36,65.96,-2.02%,278,12397,16.62%,-0.500217,2.1%,27.9%,2.3%,65.0%
CSCO,67.32,2025-09-19,27,69.00,Call,-2.50%,0.69,66.63,-1.02%,162,6448,16.62%,-0.328033,1.0%,14.0%,3.6%,58.2%
CSCO,67.32,2025-09-19,27,70.00,Call,-3.98%,0.4,66.92,-0.59%,3144,42036,16.62%,-0.226623,0.6%,8.1%,4.6%,54.9%
DIS,118.86,2025-09-19,27,120.00,Call,-0.96%,2.27,116.59,-1.91%,2684,11281,8.66%,-0.458509,1.9%,26.3%,2.9%,63.1%
DIS,118.86,2025-09-19,27,121.00,Call,-1.80%,1.85,117.01,-1.56%,53,2060,8.66%,-0.401422,1.6%,21.4%,3.4%,60.8%
DIS,118.86,2025-09-19,27,125.00,Call,-5.17%,0.76,118.1,-0.64%,1022,30599,8.66%,-0.209052,0.6%,8.7%,5.8%,54.4%
DIS,118.86,2025-09-26,34,120.00,Call,-0.96%,2.59,116.27,-2.18%,117,1395,8.66%,-0.469012,2.2%,23.9%,3.2%,63.4%
DIS,118.86,2025-09-26,34,125.00,Call,-5.17%,0.98,117.88,-0.82%,131,1302,8.66%,-0.237486,0.8%,8.9%,6.0%,55.1%
GOOGL,206.09,2025-09-26,34,210.00,Call,-1.90%,5.9,200.19,-2.86%,432,518,25.63%,-0.450255,2.9%,31.6%,5.0%,62.8%
GOOGL,206.09,2025-09-26,34,215.00,Call,-4.32%,4,202.09,-1.94%,602,681,25.63%,-0.347971,2.0%,21.2%,6.5%,58.7%
GOOGL,206.09,2025-09-26,34,220.00,Call,-6.75%,2.68,203.41,-1.30%,1942,1187,25.63%,-0.258747,1.3%,14.1%,8.3%,55.8%
GOOGL,206.09,2025-09-12,20,210.00,Call,-1.90%,4.45,201.64,-2.16%,1973,6488,25.63%,-0.423658,2.2%,40.2%,4.3%,61.8%
GOOGL,206.09,2025-09-12,20,215.00,Call,-4.32%,2.76,203.33,-1.34%,850,1354,25.63%,-0.302297,1.4%,24.7%,5.8%,57.4%
GOOGL,206.09,2025-09-12,20,220.00,Call,-6.75%,1.63,204.46,-0.79%,800,1258,25.63%,-0.204726,0.8%,14.5%,7.7%,54.3%
GOOGL,206.09,2025-09-19,27,207.50,Call,-0.68%,6.35,199.74,-3.08%,1699,2884,25.63%,-0.497389,3.2%,42.9%,4.0%,64.8%
GOOGL,206.09,2025-09-19,27,210.00,Call,-1.90%,5.2,200.89,-2.52%,19009,79842,25.63%,-0.439149,2.6%,35.0%,4.6%,62.2%
GOOGL,206.09,2025-09-19,27,212.50,Call,-3.11%,4.25,201.84,-2.06%,1108,728,25.63%,-0.38253,2.1%,28.4%,5.4%,60.1%
GOOGL,206.09,2025-09-19,27,215.00,Call,-4.32%,3.45,202.64,-1.67%,7134,19950,25.63%,-0.328844,1.7%,23.0%,6.2%,58.2%
GOOGL,206.09,2025-09-19,27,217.50,Call,-5.54%,2.76,203.33,-1.34%,913,3344,25.63%,-0.279416,1.4%,18.3%,7.1%,56.6%
GOOGL,206.09,2025-09-19,27,220.00,Call,-6.75%,2.2,203.89,-1.07%,5639,39190,25.63%,-0.234599,1.1%,14.6%,8.0%,55.2%
GOOGL,206.09,2025-09-19,27,222.50,Call,-7.96%,1.74,204.35,-0.84%,424,348,25.63%,-0.19549,0.9%,11.5%,9.0%,54.1%
GS,741.89,2025-09-19,27,740.00,Call,+0.25%,19.55,722.34,-2.64%,238,522,9.16%,-0.541267,3.0%,40.5%,3.0%,66.9%
GS,741.89,2025-09-19,27,750.00,Call,-1.09%,14.8,727.09,-1.99%,149,1698,9.16%,-0.453589,2.0%,27.4%,3.7%,63.0%
GS,741.89,2025-09-19,27,760.00,Call,-2.44%,10.9,730.99,-1.47%,65,470,9.16%,-0.37055,1.5%,20.0%,4.5%,59.5%
GS,741.89,2025-09-19,27,765.00,Call,-3.12%,9.3,732.59,-1.25%,36,375,9.16%,-0.328109,1.3%,17.1%,5.0%,58.3%
GS,741.89,2025-09-19,27,775.00,Call,-4.46%,6.7,735.19,-0.90%,116,328,9.16%,-0.256992,0.9%,12.3%,6.0%,55.9%
GS,741.89,2025-09-19,27,780.00,Call,-5.14%,5.65,736.24,-0.76%,132,1093,9.16%,-0.226164,0.8%,10.3%,6.5%,54.9%
GS,741.89,2025-09-19,27,790.00,Call,-6.48%,4.05,737.84,-0.55%,45,405,9.16%,-0.169959,0.5%,7.4%,7.6%,53.5%
HD,412.79,2025-09-12,20,420.00,Call,-1.75%,2.84,409.95,-0.69%,96,638,4.65%,-0.333462,0.7%,12.6%,2.5%,57.6%
HD,412.79,2025-09-19,27,415.00,Call,-0.54%,6.4,406.39,-1.55%,803,742,4.65%,-0.474901,1.6%,21.3%,2.1%,63.6%
HD,412.79,2025-09-19,27,420.00,Call,-1.75%,4.5,408.29,-1.09%,343,2451,4.65%,-0.37151,1.1%,14.9%,2.9%,59.6%
HD,412.79,2025-09-19,27,425.00,Call,-2.96%,2.81,409.98,-0.68%,168,576,4.65%,-0.27682,0.7%,9.3%,3.7%,56.0%
HD,412.79,2025-09-19,27,430.00,Call,-4.17%,1.73,411.06,-0.42%,879,1623,4.65%,-0.190517,0.4%,5.7%,4.6%,53.8%
JNJ,179.29,2025-09-12,20,180.00,Call,-0.40%,1.53,177.76,-0.85%,116,611,9.35%,-0.456525,0.9%,15.6%,2.0%,62.9%
JNJ,179.29,2025-09-19,27,180.00,Call,-0.40%,2,177.29,-1.12%,436,5723,9.35%,-0.470787,1.1%,15.1%,2.3%,63.4%
JNJ,179.29,2025-09-19,27,182.50,Call,-1.79%,1.11,178.18,-0.62%,414,1200,9.35%,-0.309429,0.6%,8.4%,3.2%,57.6%
JNJ,179.29,2025-09-19,27,185.00,Call,-3.18%,0.54,178.75,-0.30%,244,3453,9.35%,-0.186092,0.3%,4.1%,4.2%,53.6%
JPM,296.24,2025-09-12,20,310.00,Call,-4.64%,1.05,295.19,-0.35%,220,977,8.25%,-0.164606,0.4%,6.5%,5.0%,53.2%
JPM,296.24,2025-10-03,41,305.00,Call,-2.96%,4.45,291.79,-1.50%,526,5152,8.25%,-0.359798,1.5%,13.6%,4.5%,58.9%
JPM,296.24,2025-09-19,27,297.50,Call,-0.43%,6.3,289.94,-2.13%,123,337,8.25%,-0.49378,2.2%,29.4%,2.6%,64.7%
JPM,296.24,2025-09-19,27,300.00,Call,-1.27%,5.05,291.19,-1.70%,878,7149,8.25%,-0.43353,1.7%,23.4%,3.0%,62.1%
JPM,296.24,2025-09-19,27,305.00,Call,-2.96%,3.05,293.19,-1.03%,361,3494,8.25%,-0.313055,1.0%,14.1%,4.0%,57.7%
JPM,296.24,2025-09-19,27,310.00,Call,-4.64%,1.73,294.51,-0.58%,533,5215,8.25%,-0.20771,0.6%,7.9%,5.3%,54.5%
LLY,711.68,2025-09-12,20,710.00,Call,+0.24%,19.55,692.13,-2.75%,68,421,8.87%,-0.53891,2.6%,47.1%,2.6%,66.6%
LLY,711.68,2025-09-19,27,710.00,Call,+0.24%,23.2,688.48,-3.26%,139,1035,8.87%,-0.540655,3.1%,42.3%,3.1%,66.8%
LLY,711.68,2025-09-19,27,720.00,Call,-1.17%,18.25,693.43,-2.56%,293,1367,8.87%,-0.467134,2.6%,35.6%,3.8%,63.4%
LLY,711.68,2025-09-19,27,725.00,Call,-1.87%,15.55,696.13,-2.18%,358,362,8.87%,-0.428188,2.2%,30.2%,4.1%,61.8%
LLY,711.68,2025-09-19,27,730.00,Call,-2.57%,14.15,697.53,-1.99%,71,1016,8.87%,-0.396408,2.0%,27.4%,4.7%,60.4%
LLY,711.68,2025-09-19,27,740.00,Call,-3.98%,10.85,700.83,-1.52%,65,908,8.87%,-0.327112,1.5%,20.9%,5.6%,58.1%
LLY,711.68,2025-09-19,27,750.00,Call,-5.38%,8.25,703.43,-1.16%,837,3006,8.87%,-0.264544,1.2%,15.9%,6.6%,56.2%
LLY,711.68,2025-09-19,27,760.00,Call,-6.79%,6.2,705.48,-0.87%,98,598,8.87%,-0.216663,0.9%,11.9%,7.7%,54.5%
LLY,711.68,2025-09-26,34,720.00,Call,-1.17%,20.1,691.58,-2.82%,31,1184,8.87%,-0.477309,2.9%,31.2%,4.1%,63.3%
MA,598.96,2025-09-19,27,600.00,Call,-0.17%,11,587.96,-1.84%,91,1179,7.01%,-0.518459,1.9%,25.3%,2.0%,65.6%
MA,598.96,2025-09-19,27,610.00,Call,-1.84%,6.25,592.71,-1.04%,46,488,7.01%,-0.36951,1.1%,14.3%,2.9%,59.5%
MA,598.96,2025-09-19,27,615.00,Call,-2.68%,4.45,594.51,-0.74%,525,770,7.01%,-0.295001,0.7%,10.1%,3.4%,57.0%
MA,598.96,2025-09-19,27,620.00,Call,-3.51%,3.05,595.91,-0.51%,453,6384,7.01%,-0.224358,0.5%,6.9%,4.0%,55.0%
META,754.79,2025-09-19,27,755.00,Call,-0.03%,22.3,732.49,-2.95%,1127,1588,3.38%,-0.52929,3.0%,41.2%,3.1%,66.0%
META,754.79,2025-09-19,27,760.00,Call,-0.69%,20,734.79,-2.65%,749,2095,3.38%,-0.49274,2.7%,36.8%,3.4%,64.5%
META,754.79,2025-09-19,27,765.00,Call,-1.35%,17.65,737.14,-2.34%,330,1491,3.38%,-0.455991,2.4%,32.4%,3.8%,63.0%
META,754.79,2025-09-19,27,770.00,Call,-2.02%,15.5,739.29,-2.05%,541,4074,3.38%,-0.419549,2.1%,28.3%,4.2%,61.5%
META,754.79,2025-09-19,27,775.00,Call,-2.68%,13.55,741.24,-1.80%,210,1977,3.38%,-0.382068,1.8%,24.7%,4.6%,60.2%
META,754.79,2025-09-19,27,780.00,Call,-3.34%,11.75,743.04,-1.56%,452,4266,3.38%,-0.348749,1.6%,21.4%,5.0%,58.8%
META,754.79,2025-09-19,27,785.00,Call,-4.00%,10.15,744.64,-1.34%,315,1579,3.38%,-0.313226,1.4%,18.4%,5.4%,57.7%
META,754.79,2025-09-19,27,790.00,Call,-4.66%,8.8,745.99,-1.17%,2289,3100,3.38%,-0.280932,1.2%,15.9%,5.9%,56.7%
META,754.79,2025-09-19,27,795.00,Call,-5.33%,7.55,747.24,-1.00%,224,861,3.38%,-0.252691,1.0%,13.7%,6.4%,55.7%
META,754.79,2025-09-19,27,797.50,Call,-5.66%,6.95,747.84,-0.92%,676,660,3.38%,-0.237547,0.9%,12.6%,6.6%,55.3%
META,754.79,2025-09-19,27,800.00,Call,-5.99%,6.5,748.29,-0.86%,4320,9235,3.38%,-0.223832,0.9%,11.7%,6.9%,55.0%
META,754.79,2025-09-19,27,805.00,Call,-6.65%,5.5,749.29,-0.73%,151,2206,3.38%,-0.198011,0.7%,9.9%,7.4%,54.2%
META,754.79,2025-09-19,27,810.00,Call,-7.31%,4.7,750.09,-0.62%,287,1808,3.38%,-0.175642,0.6%,8.5%,8.0%,53.6%
META,754.79,2025-09-19,27,815.00,Call,-7.98%,4,750.79,-0.53%,184,491,3.38%,-0.154804,0.5%,7.2%,8.6%,53.0%
META,754.79,2025-09-12,20,755.00,Call,-0.03%,19,735.79,-2.52%,1646,805,3.38%,-0.524778,2.6%,47.1%,2.6%,66.3%
META,754.79,2025-09-12,20,760.00,Call,-0.69%,16.5,738.29,-2.19%,118,301,3.38%,-0.481753,2.2%,40.8%,2.9%,64.1%
META,754.79,2025-09-12,20,765.00,Call,-1.35%,14.15,740.64,-1.87%,70,329,3.38%,-0.438056,1.9%,34.9%,3.3%,62.3%
META,754.79,2025-09-12,20,770.00,Call,-2.02%,12.1,742.69,-1.60%,188,714,3.38%,-0.395142,1.6%,29.7%,3.7%,60.6%
META,754.79,2025-09-12,20,775.00,Call,-2.68%,10.2,744.59,-1.35%,96,2250,3.38%,-0.351875,1.4%,25.0%,4.1%,59.1%
META,754.79,2025-09-12,20,780.00,Call,-3.34%,8.6,746.19,-1.14%,83,680,3.38%,-0.311157,1.2%,21.0%,4.5%,57.7%
META,754.79,2025-09-12,20,785.00,Call,-4.00%,7.2,747.59,-0.95%,50,437,3.38%,-0.273476,1.0%,17.6%,5.0%,56.5%
META,754.79,2025-09-12,20,790.00,Call,-4.66%,6,748.79,-0.79%,77,327,3.38%,-0.239771,0.8%,14.6%,5.5%,55.4%
META,754.79,2025-09-12,20,800.00,Call,-5.99%,4.1,750.69,-0.54%,485,935,3.38%,-0.179381,0.5%,10.0%,6.6%,53.7%
META,754.79,2025-09-26,34,760.00,Call,-0.69%,23.05,731.74,-3.05%,63,1142,3.38%,-0.501307,3.2%,33.8%,3.9%,64.9%
META,754.79,2025-09-26,34,785.00,Call,-4.00%,12.75,742.04,-1.69%,42,336,3.38%,-0.341897,1.7%,18.4%,5.8%,58.5%
META,754.79,2025-09-26,34,790.00,Call,-4.66%,11.25,743.54,-1.49%,61,618,3.38%,-0.310749,1.5%,16.2%,6.2%,57.6%
META,754.79,2025-09-26,34,800.00,Call,-5.99%,8.55,746.24,-1.13%,287,1211,3.38%,-0.255959,1.1%,12.3%,7.2%,55.8%
MS,148.02,2025-09-19,27,150.00,Call,-1.34%,2.76,145.26,-1.86%,186,4923,6.00%,-0.432232,1.9%,25.7%,3.3%,62.2%
MS,148.02,2025-09-19,27,152.50,Call,-3.03%,1.74,146.28,-1.18%,124,358,6.00%,-0.322642,1.2%,16.1%,4.3%,58.0%
MS,148.02,2025-09-19,27,155.00,Call,-4.72%,1.02,147,-0.69%,1060,5554,6.00%,-0.220812,0.7%,9.4%,5.4%,54.9%
MSFT,507.23,2025-09-12,20,510.00,Call,-0.55%,7.85,499.38,-1.55%,256,330,5.80%,-0.476496,1.6%,28.7%,2.1%,64.2%
MSFT,507.23,2025-09-12,20,515.00,Call,-1.53%,5.6,501.63,-1.10%,274,999,5.80%,-0.386105,1.1%,20.4%,2.7%,60.3%
MSFT,507.23,2025-09-12,20,520.00,Call,-2.52%,3.85,503.38,-0.76%,430,818,5.80%,-0.298341,0.8%,14.0%,3.3%,57.3%
MSFT,507.23,2025-09-12,20,525.00,Call,-3.50%,2.58,504.65,-0.51%,341,920,5.80%,-0.221594,0.5%,9.3%,4.0%,54.9%
MSFT,507.23,2025-09-12,20,530.00,Call,-4.49%,1.71,505.52,-0.34%,303,589,5.80%,-0.160912,0.3%,6.2%,4.8%,53.2%
MSFT,507.23,2025-09-26,34,515.00,Call,-1.53%,8.65,498.58,-1.71%,478,342,5.80%,-0.428184,1.7%,18.6%,3.3%,62.1%
MSFT,507.23,2025-09-26,34,520.00,Call,-2.52%,6.65,500.58,-1.31%,290,671,5.80%,-0.360831,1.3%,14.3%,3.9%,59.4%
MSFT,507.23,2025-09-26,34,525.00,Call,-3.50%,5,502.23,-0.99%,425,479,5.80%,-0.29476,1.0%,10.7%,4.5%,57.2%
MSFT,507.23,2025-09-26,34,530.00,Call,-4.49%,3.7,503.53,-0.73%,244,468,5.80%,-0.236618,0.7%,7.9%,5.3%,55.4%
MSFT,507.23,2025-09-19,27,507.50,Call,-0.05%,10.5,496.73,-2.07%,420,518,5.80%,-0.527028,2.1%,28.6%,2.2%,65.9%
MSFT,507.23,2025-09-19,27,510.00,Call,-0.55%,9.6,497.63,-1.89%,3883,7712,5.80%,-0.488611,1.9%,26.1%,2.5%,64.6%
MSFT,507.23,2025-09-19,27,515.00,Call,-1.53%,7.25,499.98,-1.43%,801,4607,5.80%,-0.411386,1.5%,19.6%,3.0%,61.3%
MSFT,507.23,2025-09-19,27,517.50,Call,-2.02%,6.25,500.98,-1.23%,198,1033,5.80%,-0.372595,1.2%,16.9%,3.3%,59.9%
MSFT,507.23,2025-09-19,27,520.00,Call,-2.52%,5.35,501.88,-1.05%,1449,7774,5.80%,-0.335109,1.1%,14.4%,3.6%,58.5%
MSFT,507.23,2025-09-19,27,525.00,Call,-3.50%,3.85,503.38,-0.76%,1166,4907,5.80%,-0.265522,0.8%,10.3%,4.3%,56.2%
