Symbol,Ask,Bid,%Chg~,Volume~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,Last,Volume,"Total OI","IV Rank",Delta,Theta,Vega,"BE (Ask)","%BE (Ask)","Yield to Strike%","Ann Yield to Strike%","ITM Prob","OTM Prob","Short Term~"
IWM,235.99,235.98,+0.02%,16371926,2025-09-19,22,230.00,Put,-2.48%,2.6,2.57,695,12069306,6.61%,0.304348,0.097603,-0.202486,227.4,-3.58%,1.12%,18.61%,32.41%,67.59%,Buy
GOOGL,211.91,211.89,+2.23%,16625225,2025-09-19,22,200.00,Put,-5.47%,2.18,2.18,4310,3506757,24.67%,0.215061,0.109039,-0.152076,197.82,-6.50%,1.07%,17.75%,24.29%,75.71%,Buy
AAPL,232.95,232.94,+1.22%,18669180,2025-09-19,22,225.00,Put,-3.33%,2.42,2.4,2022,5681156,15.11%,0.264715,0.101617,-0.187219,222.58,-4.37%,1.06%,17.55%,29.32%,70.68%,Buy
META,751.4,751.23,+0.46%,3728616,2025-09-19,22,720.00,Put,-4.12%,7.3,7.32,290,2040590,0.74%,0.238769,0.331626,-0.571651,712.7,-5.09%,0.99%,16.36%,26.27%,73.73%,Buy
SMH,298.96,298.94,+0.47%,4390272,2025-09-19,22,285.00,Put,-4.58%,2.76,2.92,269,1105619,0.00%,0.223086,0.132658,-0.219032,282.24,-5.51%,0.95%,15.83%,24.85%,75.15%,Buy
IWM,235.99,235.98,+0.02%,16371926,2025-09-19,22,228.00,Put,-3.33%,2.07,2.03,265,12069306,6.61%,0.253929,0.091187,-0.185409,225.93,-4.21%,0.90%,14.92%,27.23%,72.77%,Buy
AMZN,231.8,231.78,+1.29%,16905678,2025-09-19,22,222.50,Put,-4.05%,2,1.97,771,3810894,1.21%,0.232679,0.092087,-0.173764,220.5,-4.91%,0.89%,14.69%,24.88%,75.12%,Buy
NFLX,1236.99,1236.63,+0.96%,1110667,2025-09-19,22,"1,180.00",Put,-4.29%,9.9,9.6,419,547177,5.97%,0.209397,0.486348,-0.873541,1170.1,-5.09%,0.80%,13.29%,24.58%,75.42%,Buy
MSFT,508.24,508.12,+0.34%,7553675,2025-09-19,22,495.00,Put,-2.55%,3.95,3.93,393,2333320,4.25%,0.266654,0.164346,-0.409576,491.05,-3.33%,0.78%,12.90%,28.99%,71.01%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,564.00,Put,-2.15%,4.15,4.2,382,9355955,4.35%,0.272963,0.168256,-0.470367,559.85,-2.87%,0.73%,12.15%,30.24%,69.76%,Buy
CSCO,69.24,69.23,+1.29%,6195127,2025-09-19,22,67.50,Put,-2.53%,0.51,0.49,767,1236031,14.36%,0.261581,0.021451,-0.055293,66.99,-3.26%,0.71%,11.80%,27.92%,72.08%,Buy
AMZN,231.8,231.78,+1.29%,16905678,2025-09-26,29,220.00,Put,-5.13%,2.07,2.04,269,3810894,1.21%,0.211112,0.076857,-0.188718,217.93,-6.02%,0.92%,11.61%,23.01%,76.99%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,563.00,Put,-2.33%,3.96,4.01,1571,9355955,4.35%,0.26126,0.166901,-0.460071,559.04,-3.02%,0.70%,11.61%,29.00%,71.00%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,562.00,Put,-2.50%,3.78,3.81,382,9355955,4.35%,0.249937,0.165298,-0.449684,558.22,-3.16%,0.67%,11.10%,27.81%,72.19%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,561.00,Put,-2.68%,3.6,3.64,286,9355955,4.35%,0.238951,0.163334,-0.438951,557.4,-3.30%,0.64%,10.59%,26.64%,73.36%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-26,29,560.00,Put,-2.85%,4.64,4.65,1373,9355955,4.35%,0.255535,0.149121,-0.522172,555.36,-3.65%,0.82%,10.36%,28.59%,71.41%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,560.00,Put,-2.85%,3.43,3.43,8110,9355955,4.35%,0.228747,0.161614,-0.428468,556.57,-3.44%,0.61%,10.13%,25.55%,74.45%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-30,33,560.00,Put,-2.85%,5.14,5.13,768,9355955,4.35%,0.264072,0.139659,-0.566541,554.86,-3.74%,0.91%,10.09%,29.70%,70.30%,Buy
MSFT,508.24,508.12,+0.34%,7553675,2025-09-19,22,490.00,Put,-3.53%,2.93,2.93,1097,2333320,4.25%,0.207518,0.149542,-0.356815,487.07,-4.11%,0.59%,9.72%,22.80%,77.20%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,559.00,Put,-3.02%,3.28,3.32,260,9355955,4.35%,0.218765,0.159507,-0.417735,555.72,-3.59%,0.58%,9.68%,24.48%,75.52%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,558.00,Put,-3.20%,3.13,3.17,454,9355955,4.35%,0.209268,0.157365,-0.40708,554.87,-3.74%,0.56%,9.25%,23.46%,76.54%,Buy
CSCO,69.24,69.23,+1.29%,6195127,2025-09-19,22,67.00,Put,-3.25%,0.41,0.52,2054,1236031,14.36%,0.215258,0.019899,-0.049691,66.59,-3.84%,0.55%,9.16%,23.12%,76.88%,Buy
QQQ,577.01,577,+0.63%,32155788,2025-09-19,22,557.00,Put,-3.37%,2.99,3.02,304,9355955,4.35%,0.200204,0.155165,-0.396577,554.01,-3.89%,0.53%,8.85%,22.49%,77.51%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-19,22,634.00,Put,-2.12%,3.12,3.2,428,17952295,4.23%,0.237787,0.142165,-0.491642,630.88,-2.60%,0.49%,8.14%,26.42%,73.58%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-19,22,632.00,Put,-2.43%,2.82,2.82,570,17952295,4.23%,0.215685,0.138901,-0.465416,629.18,-2.86%,0.44%,7.38%,24.05%,75.95%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-19,22,631.00,Put,-2.58%,2.68,2.66,252,17952295,4.23%,0.205169,0.136782,-0.451958,628.32,-3.00%,0.42%,7.02%,22.92%,77.08%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-10-03,36,630.00,Put,-2.74%,4.38,4.34,270,17952295,4.23%,0.242656,0.116566,-0.63571,625.62,-3.41%,0.69%,7.02%,27.39%,72.61%,Buy
TLT,87.19,87.18,+0.57%,17232462,2025-09-19,22,85.00,Put,-2.49%,0.36,0.34,1818,5689825,2.07%,0.209564,0.017978,-0.061556,84.64,-2.90%,0.41%,6.83%,22.85%,77.15%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-26,29,630.00,Put,-2.74%,3.44,3.51,828,17952295,4.23%,0.221574,0.124073,-0.542449,626.56,-3.27%,0.54%,6.83%,24.88%,75.12%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-30,33,630.00,Put,-2.74%,3.82,3.84,3936,17952295,4.23%,0.230295,0.116102,-0.591402,626.18,-3.33%,0.60%,6.67%,26.02%,73.98%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-30,33,629.00,Put,-2.89%,3.68,3.77,276,17952295,4.23%,0.221729,0.115305,-0.578863,625.32,-3.46%,0.58%,6.44%,25.09%,74.91%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-30,33,628.00,Put,-3.05%,3.54,3.62,498,17952295,4.23%,0.213355,0.114297,-0.566139,624.46,-3.59%,0.56%,6.20%,24.18%,75.82%,Buy
TLT,87.19,87.18,+0.57%,17232462,2025-09-30,33,85.00,Put,-2.49%,0.48,0.46,475,5689825,2.07%,0.234321,0.014318,-0.080313,84.52,-3.04%,0.55%,6.12%,26.01%,73.99%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-09-30,33,627.00,Put,-3.20%,3.41,3.47,435,17952295,4.23%,0.205422,0.113315,-0.553654,623.59,-3.73%,0.54%,5.98%,23.32%,76.68%,Buy
SPY,648.28,648.27,+0.27%,34079426,2025-10-03,36,625.00,Put,-3.51%,3.68,3.76,345,17952295,4.23%,0.203553,0.112607,-0.575121,621.32,-4.08%,0.59%,5.94%,23.15%,76.85%,Buy
"Downloaded from Barchart.com as of 08-28-2025 12:56pm CDT"
