Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Profit Prob"
QQQ,576.42,2025-09-19,22,560.00,Put,-2.85%,3.42,556.58,-3.44%,8110,39146,4.35%,0.228747,0.6%,10.2%,78.72%
QQQ,576.42,2025-09-19,22,559.00,Put,-3.02%,3.26,555.74,-3.59%,260,4268,4.35%,0.218765,0.6%,9.7%,79.46%
QQQ,576.42,2025-09-19,22,558.00,Put,-3.20%,3.11,554.89,-3.74%,454,3192,4.35%,0.209268,0.6%,9.3%,80.19%
QQQ,576.42,2025-09-19,22,557.00,Put,-3.37%,2.97,554.03,-3.88%,304,2728,4.35%,0.200204,0.5%,8.9%,80.89%
QQQ,576.42,2025-09-30,33,560.00,Put,-2.85%,5.11,554.89,-3.74%,768,14584,4.35%,0.264072,0.9%,10.2%,75.87%
SMH,298.69,2025-09-19,22,290.00,Put,-2.91%,3.8,286.2,-4.18%,2654,8842,0.00%,0.298307,1.3%,22.0%,74.12%
SMH,298.69,2025-09-19,22,285.00,Put,-4.58%,2.72,282.28,-5.49%,269,6132,0.00%,0.223086,1.0%,16.0%,79.34%
SPY,647.73,2025-09-26,29,630.00,Put,-2.74%,3.42,626.58,-3.27%,828,1302,4.23%,0.221574,0.5%,6.9%,79.14%
SPY,647.73,2025-09-30,33,630.00,Put,-2.74%,3.8,626.2,-3.32%,3936,22102,4.23%,0.230295,0.6%,6.7%,78.31%
SPY,647.73,2025-09-30,33,629.00,Put,-2.89%,3.66,625.34,-3.46%,276,1767,4.23%,0.221729,0.6%,6.5%,78.96%
SPY,647.73,2025-09-30,33,628.00,Put,-3.05%,3.52,624.48,-3.59%,498,1379,4.23%,0.213355,0.6%,6.2%,79.61%
SPY,647.73,2025-09-30,33,627.00,Put,-3.20%,3.39,623.61,-3.72%,435,1084,4.23%,0.205422,0.5%,6.0%,80.23%
SPY,647.73,2025-10-03,36,630.00,Put,-2.74%,4.36,625.64,-3.41%,270,1181,4.23%,0.242656,0.7%,7.1%,77.38%
SPY,647.73,2025-10-03,36,625.00,Put,-3.51%,3.66,621.34,-4.07%,345,2774,4.23%,0.203553,0.6%,6.0%,80.36%
SPY,647.73,2025-09-19,22,634.00,Put,-2.12%,3.11,630.89,-2.60%,428,1799,4.23%,0.237787,0.5%,8.2%,78.09%
SPY,647.73,2025-09-19,22,632.00,Put,-2.43%,2.81,629.19,-2.86%,570,2326,4.23%,0.215685,0.4%,7.4%,79.74%
SPY,647.73,2025-09-19,22,631.00,Put,-2.58%,2.67,628.33,-3.00%,252,1395,4.23%,0.205169,0.4%,7.1%,80.55%
TLT,87.17,2025-09-30,33,85.00,Put,-2.49%,0.47,84.53,-3.03%,475,23936,2.07%,0.234321,0.6%,6.1%,78.36%
TLT,87.17,2025-09-19,22,85.00,Put,-2.49%,0.35,84.65,-2.89%,1818,39175,2.07%,0.209564,0.4%,6.9%,80.66%
"Downloaded from Barchart.com as of 08-28-2025 01:00pm CDT"
