Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,"Net Cr(Db)",%Cost,"Max Profit","Max Loss",Upside,Downside,Delta,"Profit Prob"
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,465.00,Put,1.55,562.59,0.7,0.1%,42.41,97.59,7.53%,-17.33%,0.810453,50.7%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,470.00,Put,1.71,562.75,0.54,0.1%,42.25,92.75,7.50%,-16.47%,0.805026,50.5%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,475.00,Put,1.89,562.93,0.36,0.1%,42.07,87.93,7.47%,-15.61%,0.798795,50.3%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,480.00,Put,2.09,563.13,0.16,0.0%,41.87,83.13,7.43%,-14.76%,0.791835,50.2%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,485.00,Put,2.32,563.36,-0.07,0.0%,41.64,78.36,7.39%,-13.91%,0.783878,49.9%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,490.00,Put,2.58,563.62,-0.33,-0.1%,41.38,73.62,7.35%,-13.07%,0.774922,49.7%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,495.00,Put,2.88,563.92,-0.63,-0.1%,41.08,68.92,7.29%,-12.24%,0.764799,49.4%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,500.00,Put,3.21,564.25,-0.96,-0.2%,40.75,64.25,7.23%,-11.41%,0.753364,49.1%
QQQ,563.29,2025-10-17,57,605.00,Call,2.25,505.00,Put,3.6,564.64,-1.35,-0.2%,40.36,59.64,7.17%,-10.59%,0.740349,48.7%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,470.00,Put,1.71,563.38,-0.09,0.0%,46.62,93.38,8.28%,-16.58%,0.836956,49.9%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,475.00,Put,1.89,563.56,-0.27,0.0%,46.44,88.56,8.24%,-15.72%,0.830725,49.7%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,480.00,Put,2.09,563.76,-0.47,-0.1%,46.24,83.76,8.21%,-14.87%,0.823765,49.5%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,485.00,Put,2.32,563.99,-0.7,-0.1%,46.01,78.99,8.17%,-14.02%,0.815808,49.3%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,490.00,Put,2.58,564.25,-0.96,-0.2%,45.75,74.25,8.12%,-13.18%,0.806853,49.1%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,495.00,Put,2.88,564.55,-1.26,-0.2%,45.45,69.55,8.07%,-12.35%,0.79673,48.8%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,500.00,Put,3.21,564.88,-1.59,-0.3%,45.12,64.88,8.01%,-11.52%,0.785295,48.5%
QQQ,563.29,2025-10-17,57,610.00,Call,1.62,505.00,Put,3.6,565.27,-1.98,-0.4%,44.73,60.27,7.94%,-10.70%,0.77228,48.1%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,480.00,Put,2.09,564.54,-1.25,-0.2%,55.46,84.54,9.85%,-15.01%,0.869443,48.8%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,485.00,Put,2.32,564.77,-1.48,-0.3%,55.23,79.77,9.80%,-14.16%,0.861485,48.6%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,490.00,Put,2.58,565.03,-1.74,-0.3%,54.97,75.03,9.76%,-13.32%,0.85253,48.3%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,495.00,Put,2.88,565.33,-2.04,-0.4%,54.67,70.33,9.71%,-12.49%,0.842407,48.0%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,500.00,Put,3.21,565.66,-2.37,-0.4%,54.34,65.66,9.65%,-11.66%,0.830972,47.7%
QQQ,563.29,2025-10-17,57,620.00,Call,0.84,505.00,Put,3.6,566.05,-2.76,-0.5%,53.95,61.05,9.58%,-10.84%,0.817957,47.3%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,485.00,Put,2.32,565,-1.71,-0.3%,60,80,10.65%,-14.20%,0.876545,48.3%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,490.00,Put,2.58,565.26,-1.97,-0.3%,59.74,75.26,10.61%,-13.36%,0.86759,48.1%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,495.00,Put,2.88,565.56,-2.27,-0.4%,59.44,70.56,10.55%,-12.53%,0.857467,47.8%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,500.00,Put,3.21,565.89,-2.6,-0.5%,59.11,65.89,10.49%,-11.70%,0.846032,47.5%
QQQ,563.29,2025-10-17,57,625.00,Call,0.61,505.00,Put,3.6,566.28,-2.99,-0.5%,58.72,61.28,10.42%,-10.88%,0.833017,47.1%
QQQ,563.29,2025-11-21,92,595.00,Call,8.95,490.00,Put,4.95,559.29,4,0.7%,35.71,69.29,6.34%,-12.30%,0.565678,52.9%
QQQ,563.29,2025-11-21,92,595.00,Call,8.95,500.00,Put,5.9,560.24,3.05,0.5%,34.76,60.24,6.17%,-10.69%,0.541748,52.2%
QQQ,563.29,2025-11-21,92,595.00,Call,8.95,505.00,Put,6.45,560.79,2.5,0.4%,34.21,55.79,6.07%,-9.90%,0.527955,51.8%
QQQ,563.29,2025-11-21,92,600.00,Call,7.31,490.00,Put,4.95,560.93,2.36,0.4%,39.07,70.93,6.94%,-12.59%,0.605208,51.7%
QQQ,563.29,2025-11-21,92,600.00,Call,7.31,500.00,Put,5.9,561.88,1.41,0.3%,38.12,61.88,6.77%,-10.99%,0.581278,51.0%
QQQ,563.29,2025-11-21,92,600.00,Call,7.31,505.00,Put,6.45,562.43,0.86,0.2%,37.57,57.43,6.67%,-10.20%,0.567485,50.6%
QQQ,563.29,2025-11-21,92,605.00,Call,5.91,490.00,Put,4.95,562.33,0.96,0.2%,42.67,72.33,7.58%,-12.84%,0.642653,50.7%
QQQ,563.29,2025-11-21,92,605.00,Call,5.91,500.00,Put,5.9,563.28,0.01,0.0%,41.72,63.28,7.41%,-11.23%,0.618722,50.0%
QQQ,563.29,2025-11-21,92,605.00,Call,5.91,505.00,Put,6.45,563.83,-0.54,-0.1%,41.17,58.83,7.31%,-10.44%,0.60493,49.6%
QQQ,563.29,2025-11-21,92,610.00,Call,4.74,490.00,Put,4.95,563.5,-0.21,0.0%,46.5,73.5,8.26%,-13.05%,0.677332,49.8%
QQQ,563.29,2025-11-21,92,610.00,Call,4.74,500.00,Put,5.9,564.45,-1.16,-0.2%,45.55,64.45,8.09%,-11.44%,0.653402,49.2%
QQQ,563.29,2025-11-21,92,610.00,Call,4.74,505.00,Put,6.45,565,-1.71,-0.3%,45,60,7.99%,-10.65%,0.639609,48.8%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,470.00,Put,4.92,560.57,2.72,0.5%,49.21,90.57,8.74%,-16.08%,0.641547,51.7%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,474.78,Put,5.29,560.94,2.35,0.4%,48.84,86.16,8.67%,-15.30%,0.633473,51.5%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,480.00,Put,5.73,561.38,1.91,0.3%,48.4,81.38,8.59%,-14.45%,0.623908,51.2%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,499.78,Put,7.78,563.43,-0.14,0.0%,46.35,63.65,8.23%,-11.30%,0.579526,49.9%
QQQ,563.29,2025-12-19,120,609.78,Call,7.64,500.00,Put,7.81,563.46,-0.17,0.0%,46.32,63.46,8.22%,-11.27%,0.57877,49.9%
QQQ,563.29,2025-12-19,120,615.00,Call,6.31,474.78,Put,5.29,562.27,1.02,0.2%,52.73,87.49,9.36%,-15.53%,0.665799,50.6%
QQQ,563.29,2025-12-19,120,615.00,Call,6.31,480.00,Put,5.73,562.71,0.58,0.1%,52.29,82.71,9.28%,-14.68%,0.656235,50.4%
QQQ,563.29,2025-12-19,120,615.00,Call,6.31,499.78,Put,7.78,564.76,-1.47,-0.3%,50.24,64.98,8.92%,-11.54%,0.611852,49.1%
QQQ,563.29,2025-12-19,120,615.00,Call,6.31,500.00,Put,7.81,564.79,-1.5,-0.3%,50.21,64.79,8.91%,-11.50%,0.611096,49.1%
QQQ,563.29,2025-12-19,120,625.00,Call,4.3,499.78,Put,7.78,566.77,-3.48,-0.6%,58.23,66.99,10.34%,-11.89%,0.666941,47.8%
QQQ,563.29,2025-12-19,120,625.00,Call,4.3,500.00,Put,7.81,566.8,-3.51,-0.6%,58.2,66.8,10.33%,-11.86%,0.666185,47.8%
QQQ,563.29,2025-12-19,120,635.00,Call,2.89,499.78,Put,7.78,568.18,-4.89,-0.9%,66.82,68.4,11.86%,-12.14%,0.711481,47.0%
QQQ,563.29,2025-12-19,120,635.00,Call,2.89,500.00,Put,7.81,568.21,-4.92,-0.9%,66.79,68.21,11.86%,-12.11%,0.710725,46.9%
QQQ,563.29,2025-12-19,120,640.00,Call,2.36,499.78,Put,7.78,568.71,-5.42,-1.0%,71.29,68.93,12.66%,-12.24%,0.729905,46.6%
QQQ,563.29,2025-12-19,120,640.00,Call,2.36,500.00,Put,7.81,568.74,-5.45,-1.0%,71.26,68.74,12.65%,-12.20%,0.729149,46.6%
QQQ,563.29,2026-01-16,148,599.78,Call,13.83,489.78,Put,8.13,557.59,5.7,1.0%,42.19,67.81,7.49%,-12.04%,0.490166,53.2%
QQQ,563.29,2026-01-16,148,599.78,Call,13.83,500.00,Put,9.43,558.89,4.4,0.8%,40.89,58.89,7.26%,-10.45%,0.465307,52.5%
QQQ,563.29,2026-01-16,148,615.00,Call,8.74,489.78,Put,8.13,562.68,0.61,0.1%,52.32,72.9,9.29%,-12.94%,0.583685,50.3%
QQQ,563.29,2026-01-16,148,615.00,Call,8.74,500.00,Put,9.43,563.98,-0.69,-0.1%,51.02,63.98,9.06%,-11.36%,0.558825,49.6%
QQQ,563.29,2026-01-16,148,620.00,Call,7.43,489.78,Put,8.13,563.99,-0.7,-0.1%,56.01,74.21,9.94%,-13.17%,0.61193,49.6%
QQQ,563.29,2026-01-16,148,620.00,Call,7.43,500.00,Put,9.43,565.29,-2.,-0.4%,54.71,65.29,9.71%,-11.59%,0.58707,48.9%
QQQ,563.29,2026-01-16,148,630.00,Call,5.3,489.78,Put,8.13,566.12,-2.83,-0.5%,63.88,76.34,11.34%,-13.55%,0.663492,48.4%
QQQ,563.29,2026-01-16,148,630.00,Call,5.3,500.00,Put,9.43,567.42,-4.13,-0.7%,62.58,67.42,11.11%,-11.97%,0.638632,47.7%
SPY,635.92,2025-09-26,36,680.00,Call,0.18,570.00,Put,1.28,637.02,-1.1,-0.2%,42.98,67.02,6.76%,-10.54%,0.914571,48.4%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,525.00,Put,1.16,635.16,0.76,0.1%,34.84,110.16,5.48%,-17.32%,0.820299,50.9%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,530.00,Put,1.25,635.25,0.67,0.1%,34.75,105.25,5.46%,-16.55%,0.816908,50.8%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,535.00,Put,1.36,635.36,0.56,0.1%,34.64,100.36,5.45%,-15.78%,0.812643,50.6%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,540.00,Put,1.48,635.48,0.44,0.1%,34.52,95.48,5.43%,-15.01%,0.808163,50.5%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,550.00,Put,1.77,635.77,0.15,0.0%,34.23,85.77,5.38%,-13.49%,0.796947,50.2%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,555.00,Put,1.96,635.96,-0.04,0.0%,34.04,80.96,5.35%,-12.73%,0.789918,50.0%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,560.00,Put,2.17,636.17,-0.25,0.0%,33.83,76.17,5.32%,-11.98%,0.78216,49.7%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,565.00,Put,2.4,636.4,-0.48,-0.1%,33.6,71.4,5.28%,-11.23%,0.773332,49.5%
SPY,635.92,2025-10-17,57,670.00,Call,1.92,570.00,Put,2.68,636.68,-0.76,-0.1%,33.32,66.68,5.24%,-10.49%,0.763137,49.1%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,525.00,Put,1.16,635.82,0.1,0.0%,39.18,110.82,6.16%,-17.43%,0.860314,50.1%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,530.00,Put,1.25,635.91,0.01,0.0%,39.09,105.91,6.15%,-16.65%,0.856923,50.0%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,535.00,Put,1.36,636.02,-0.1,0.0%,38.98,101.02,6.13%,-15.89%,0.852658,49.9%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,540.00,Put,1.48,636.14,-0.22,0.0%,38.86,96.14,6.11%,-15.12%,0.848178,49.7%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,550.00,Put,1.77,636.43,-0.51,-0.1%,38.57,86.43,6.07%,-13.59%,0.836962,49.4%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,555.00,Put,1.96,636.62,-0.7,-0.1%,38.38,81.62,6.04%,-12.83%,0.829933,49.2%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,560.00,Put,2.17,636.83,-0.91,-0.1%,38.17,76.83,6.00%,-12.08%,0.822175,49.0%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,565.00,Put,2.4,637.06,-1.14,-0.2%,37.94,72.06,5.97%,-11.33%,0.813347,48.7%
SPY,635.92,2025-10-17,57,675.00,Call,1.26,570.00,Put,2.68,637.34,-1.42,-0.2%,37.66,67.34,5.92%,-10.59%,0.803152,48.4%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,525.00,Put,1.16,636.26,-0.34,-0.1%,43.74,111.26,6.88%,-17.50%,0.890563,49.6%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,530.00,Put,1.25,636.35,-0.43,-0.1%,43.65,106.35,6.86%,-16.72%,0.887172,49.5%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,535.00,Put,1.36,636.46,-0.54,-0.1%,43.54,101.46,6.85%,-15.95%,0.882907,49.4%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,540.00,Put,1.48,636.58,-0.66,-0.1%,43.42,96.58,6.83%,-15.19%,0.878427,49.2%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,550.00,Put,1.77,636.87,-0.95,-0.1%,43.13,86.87,6.78%,-13.66%,0.867212,48.9%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,555.00,Put,1.96,637.06,-1.14,-0.2%,42.94,82.06,6.75%,-12.90%,0.860182,48.7%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,560.00,Put,2.17,637.27,-1.35,-0.2%,42.73,77.27,6.72%,-12.15%,0.852425,48.5%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,565.00,Put,2.4,637.5,-1.58,-0.2%,42.5,72.5,6.68%,-11.40%,0.843596,48.2%
SPY,635.92,2025-10-17,57,680.00,Call,0.82,570.00,Put,2.68,637.78,-1.86,-0.3%,42.22,67.78,6.64%,-10.66%,0.833402,47.9%
SPY,635.92,2025-10-17,57,690.00,Call,0.35,535.00,Put,1.36,636.93,-1.01,-0.2%,53.07,101.93,8.35%,-16.03%,0.92013,48.8%
SPY,635.92,2025-10-17,57,690.00,Call,0.35,540.00,Put,1.48,637.05,-1.13,-0.2%,52.95,97.05,8.33%,-15.26%,0.91565,48.7%
SPY,635.92,2025-10-17,57,690.00,Call,0.35,550.00,Put,1.77,637.34,-1.42,-0.2%,52.66,87.34,8.28%,-13.73%,0.904434,48.4%
SPY,635.92,2025-10-17,57,690.00,Call,0.35,555.00,Put,1.96,637.53,-1.61,-0.3%,52.47,82.53,8.25%,-12.98%,0.897405,48.2%
SPY,635.92,2025-10-17,57,690.00,Call,0.35,560.00,Put,2.17,637.74,-1.82,-0.3%,52.26,77.74,8.22%,-12.22%,0.889648,47.9%
SPY,635.92,2025-10-17,57,690.00,Call,0.35,565.00,Put,2.4,637.97,-2.05,-0.3%,52.03,72.97,8.18%,-11.47%,0.880819,47.7%
SPY,635.92,2025-10-17,57,690.00,Call,0.35,570.00,Put,2.68,638.25,-2.33,-0.4%,51.75,68.25,8.14%,-10.73%,0.870625,47.3%
SPY,635.92,2025-10-17,57,695.00,Call,0.24,540.00,Put,1.48,637.16,-1.24,-0.2%,57.84,97.16,9.10%,-15.28%,0.924869,48.6%
SPY,635.92,2025-10-17,57,695.00,Call,0.24,550.00,Put,1.77,637.45,-1.53,-0.2%,57.55,87.45,9.05%,-13.75%,0.913653,48.3%
SPY,635.92,2025-10-17,57,695.00,Call,0.24,555.00,Put,1.96,637.64,-1.72,-0.3%,57.36,82.64,9.02%,-13.00%,0.906623,48.0%
SPY,635.92,2025-10-17,57,695.00,Call,0.24,560.00,Put,2.17,637.85,-1.93,-0.3%,57.15,77.85,8.99%,-12.24%,0.898866,47.8%
SPY,635.92,2025-10-17,57,695.00,Call,0.24,565.00,Put,2.4,638.08,-2.16,-0.3%,56.92,73.08,8.95%,-11.49%,0.890037,47.5%
SPY,635.92,2025-10-17,57,695.00,Call,0.24,570.00,Put,2.68,638.36,-2.44,-0.4%,56.64,68.36,8.91%,-10.75%,0.879843,47.2%
SPY,635.92,2025-10-17,57,700.00,Call,0.17,550.00,Put,1.77,637.52,-1.6,-0.3%,62.48,87.52,9.83%,-13.76%,0.921118,48.2%
SPY,635.92,2025-10-17,57,700.00,Call,0.17,555.00,Put,1.96,637.71,-1.79,-0.3%,62.29,82.71,9.80%,-13.01%,0.914088,48.0%
SPY,635.92,2025-10-17,57,700.00,Call,0.17,560.00,Put,2.17,637.92,-2.,-0.3%,62.08,77.92,9.76%,-12.25%,0.906331,47.7%
SPY,635.92,2025-10-17,57,700.00,Call,0.17,565.00,Put,2.4,638.15,-2.23,-0.4%,61.85,73.15,9.73%,-11.50%,0.897502,47.5%
SPY,635.92,2025-10-17,57,700.00,Call,0.17,570.00,Put,2.68,638.43,-2.51,-0.4%,61.57,68.43,9.68%,-10.76%,0.887308,47.1%
SPY,635.92,2025-10-31,71,700.00,Call,0.36,550.00,Put,2.55,638.11,-2.19,-0.3%,61.89,88.11,9.73%,-13.86%,0.89213,47.9%
SPY,635.92,2025-10-31,71,700.00,Call,0.36,560.00,Put,3.05,638.61,-2.69,-0.4%,61.39,78.61,9.65%,-12.36%,0.87562,47.4%
