Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
SPY,646.07,2025-10-17,50,645.00,Put,10.3,602.00,Put,3.03,637.73,-1.29%,7.27,35.73,+20.35%,"4.91 to 1",5.17%,38.8%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,602.00,Put,3.03,640.78,-0.82%,9.22,38.78,+23.78%,"4.21 to 1",5.17%,42.8%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,605.00,Put,3.27,637.97,-1.25%,7.03,32.97,+21.32%,"4.69 to 1",5.17%,39.1%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,605.00,Put,3.27,641.02,-0.78%,8.98,36.02,+24.93%,"4.01 to 1",5.17%,43.2%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,606.00,Put,3.36,638.06,-1.24%,6.94,32.06,+21.65%,"4.62 to 1",5.17%,39.2%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,606.00,Put,3.36,641.11,-0.77%,8.89,35.11,+25.32%,"3.95 to 1",5.17%,43.3%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,607.00,Put,3.44,638.14,-1.23%,6.86,31.14,+22.03%,"4.54 to 1",5.17%,39.3%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,607.00,Put,3.44,641.19,-0.76%,8.81,34.19,+25.77%,"3.88 to 1",5.17%,43.4%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,608.00,Put,3.53,638.23,-1.21%,6.77,30.23,+22.40%,"4.47 to 1",5.17%,39.4%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,608.00,Put,3.53,641.28,-0.74%,8.72,33.28,+26.20%,"3.82 to 1",5.17%,43.5%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,609.00,Put,3.63,638.33,-1.20%,6.67,29.33,+22.74%,"4.40 to 1",5.17%,39.6%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,609.00,Put,3.63,641.38,-0.73%,8.62,32.38,+26.62%,"3.76 to 1",5.17%,43.6%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,610.00,Put,3.72,634.99,-1.71%,5.01,24.99,+20.05%,"4.99 to 1",5.17%,35.2%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,610.00,Put,3.72,638.42,-1.18%,6.58,28.42,+23.15%,"4.32 to 1",5.17%,39.7%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,610.00,Put,3.72,641.47,-0.71%,8.53,31.47,+27.11%,"3.69 to 1",5.17%,43.8%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,611.00,Put,3.82,635.09,-1.70%,4.91,24.09,+20.38%,"4.91 to 1",5.17%,35.3%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,611.00,Put,3.82,638.52,-1.17%,6.48,27.52,+23.55%,"4.25 to 1",5.17%,39.8%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,611.00,Put,3.82,641.57,-0.70%,8.43,30.57,+27.58%,"3.63 to 1",5.17%,43.9%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,612.00,Put,3.92,635.19,-1.68%,4.81,23.19,+20.74%,"4.82 to 1",5.17%,35.4%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,612.00,Put,3.92,638.62,-1.15%,6.38,26.62,+23.97%,"4.17 to 1",5.17%,39.9%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,612.00,Put,3.92,641.67,-0.68%,8.33,29.67,+28.08%,"3.56 to 1",5.17%,44.0%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,613.00,Put,4.03,635.3,-1.67%,4.7,22.3,+21.08%,"4.74 to 1",5.17%,35.6%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,613.00,Put,4.03,638.73,-1.14%,6.27,25.73,+24.37%,"4.10 to 1",5.17%,40.1%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,613.00,Put,4.03,641.78,-0.66%,8.22,28.78,+28.56%,"3.50 to 1",5.17%,44.2%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,614.00,Put,4.14,635.41,-1.65%,4.59,21.41,+21.44%,"4.66 to 1",5.17%,35.7%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,614.00,Put,4.14,638.84,-1.12%,6.16,24.84,+24.80%,"4.03 to 1",5.17%,40.2%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,614.00,Put,4.14,641.89,-0.65%,8.11,27.89,+29.08%,"3.44 to 1",5.17%,44.3%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,615.00,Put,4.25,635.52,-1.63%,4.48,20.52,+21.83%,"4.58 to 1",5.17%,35.9%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,615.00,Put,4.25,638.95,-1.10%,6.05,23.95,+25.26%,"3.96 to 1",5.17%,40.4%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,615.00,Put,4.25,642,-0.63%,8,27,+29.63%,"3.38 to 1",5.17%,44.5%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,616.00,Put,4.36,635.63,-1.62%,4.37,19.63,+22.26%,"4.49 to 1",5.17%,36.0%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,616.00,Put,4.36,639.06,-1.09%,5.94,23.06,+25.76%,"3.88 to 1",5.17%,40.5%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,616.00,Put,4.36,642.11,-0.61%,7.89,26.11,+30.22%,"3.31 to 1",5.17%,44.6%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,617.00,Put,4.48,635.75,-1.60%,4.25,18.75,+22.67%,"4.41 to 1",5.17%,36.2%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,617.00,Put,4.48,639.18,-1.07%,5.82,22.18,+26.24%,"3.81 to 1",5.17%,40.7%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,617.00,Put,4.48,642.23,-0.59%,7.77,25.23,+30.80%,"3.25 to 1",5.17%,44.8%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,619.00,Put,4.73,636,-1.56%,4,17,+23.53%,"4.25 to 1",5.17%,36.5%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,619.00,Put,4.73,639.43,-1.03%,5.57,20.43,+27.26%,"3.67 to 1",5.17%,41.0%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,619.00,Put,4.73,642.48,-0.56%,7.52,23.48,+32.03%,"3.12 to 1",5.17%,45.1%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,620.00,Put,4.86,636.13,-1.54%,3.87,16.13,+23.99%,"4.17 to 1",5.17%,36.7%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,620.00,Put,4.86,639.56,-1.01%,5.44,19.56,+27.81%,"3.60 to 1",5.17%,41.2%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,620.00,Put,4.86,642.61,-0.54%,7.39,22.61,+32.68%,"3.06 to 1",5.17%,45.3%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,621.00,Put,5,636.27,-1.52%,3.73,15.27,+24.43%,"4.09 to 1",5.17%,36.8%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,621.00,Put,5,639.7,-0.99%,5.3,18.7,+28.34%,"3.53 to 1",5.17%,41.4%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,621.00,Put,5,642.75,-0.51%,7.25,21.75,+33.33%,"3.00 to 1",5.17%,45.5%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,623.00,Put,5.28,636.55,-1.47%,3.45,13.55,+25.46%,"3.93 to 1",5.17%,37.2%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,623.00,Put,5.28,639.98,-0.94%,5.02,16.98,+29.56%,"3.38 to 1",5.17%,41.8%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,623.00,Put,5.28,643.03,-0.47%,6.97,20.03,+34.80%,"2.87 to 1",5.17%,45.9%
SPY,646.07,2025-10-17,50,630.00,Put,6.43,624.00,Put,5.43,629,-2.64%,1,5,+20.00%,"5.00 to 1",5.17%,27.8%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,624.00,Put,5.43,636.7,-1.45%,3.3,12.7,+25.98%,"3.85 to 1",5.17%,37.4%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,624.00,Put,5.43,640.13,-0.92%,4.87,16.13,+30.19%,"3.31 to 1",5.17%,42.0%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,624.00,Put,5.43,643.18,-0.45%,6.82,19.18,+35.56%,"2.81 to 1",5.17%,46.1%
SPY,646.07,2025-10-17,50,630.00,Put,6.43,625.00,Put,5.59,629.16,-2.62%,0.84,4.16,+20.19%,"4.95 to 1",5.17%,28.0%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,625.00,Put,5.59,636.86,-1.43%,3.14,11.86,+26.48%,"3.78 to 1",5.17%,37.6%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,625.00,Put,5.59,640.29,-0.89%,4.71,15.29,+30.80%,"3.25 to 1",5.17%,42.2%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,625.00,Put,5.59,643.34,-0.42%,6.66,18.34,+36.31%,"2.75 to 1",5.17%,46.3%
SPY,646.07,2025-10-17,50,630.00,Put,6.43,626.00,Put,5.75,629.32,-2.59%,0.68,3.32,+20.48%,"4.88 to 1",5.17%,28.2%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,626.00,Put,5.75,637.02,-1.40%,2.98,11.02,+27.04%,"3.70 to 1",5.17%,37.8%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,626.00,Put,5.75,640.45,-0.87%,4.55,14.45,+31.49%,"3.18 to 1",5.17%,42.4%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,626.00,Put,5.75,643.5,-0.40%,6.5,17.5,+37.14%,"2.69 to 1",5.17%,46.5%
SPY,646.07,2025-10-17,50,630.00,Put,6.43,627.00,Put,5.92,629.49,-2.57%,0.51,2.49,+20.48%,"4.88 to 1",5.17%,28.4%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,627.00,Put,5.92,637.19,-1.37%,2.81,10.19,+27.58%,"3.63 to 1",5.17%,38.0%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,627.00,Put,5.92,640.62,-0.84%,4.38,13.62,+32.16%,"3.11 to 1",5.17%,42.6%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,627.00,Put,5.92,643.67,-0.37%,6.33,16.67,+37.97%,"2.63 to 1",5.17%,46.7%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,629.00,Put,6.27,637.54,-1.32%,2.46,8.54,+28.81%,"3.47 to 1",5.17%,38.5%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,629.00,Put,6.27,640.97,-0.79%,4.03,11.97,+33.67%,"2.97 to 1",5.17%,43.1%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,629.00,Put,6.27,644.02,-0.32%,5.98,15.02,+39.81%,"2.51 to 1",5.17%,47.2%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,630.00,Put,6.45,637.72,-1.29%,2.28,7.72,+29.53%,"3.39 to 1",5.17%,38.7%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,630.00,Put,6.45,641.15,-0.76%,3.85,11.15,+34.53%,"2.90 to 1",5.17%,43.3%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,631.00,Put,6.65,637.92,-1.26%,2.08,6.92,+30.06%,"3.33 to 1",5.17%,39.0%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,631.00,Put,6.65,641.35,-0.73%,3.65,10.35,+35.27%,"2.84 to 1",5.17%,43.6%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,632.00,Put,6.85,638.12,-1.23%,1.88,6.12,+30.72%,"3.26 to 1",5.17%,39.3%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,632.00,Put,6.85,641.55,-0.70%,3.45,9.55,+36.13%,"2.77 to 1",5.17%,43.9%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,633.00,Put,7.05,638.32,-1.20%,1.68,5.32,+31.58%,"3.17 to 1",5.17%,39.5%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,633.00,Put,7.05,641.75,-0.67%,3.25,8.75,+37.14%,"2.69 to 1",5.17%,44.1%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,634.00,Put,7.27,638.54,-1.17%,1.46,4.54,+32.16%,"3.11 to 1",5.17%,39.8%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,634.00,Put,7.27,641.97,-0.63%,3.03,7.97,+38.02%,"2.63 to 1",5.17%,44.4%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,635.00,Put,7.49,638.76,-1.13%,1.24,3.76,+32.98%,"3.03 to 1",5.17%,40.1%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,635.00,Put,7.49,642.19,-0.60%,2.81,7.19,+39.08%,"2.56 to 1",5.17%,44.7%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,636.00,Put,7.73,639,-1.09%,1,3,+33.33%,"3.00 to 1",5.17%,40.4%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,636.00,Put,7.73,642.43,-0.56%,2.57,6.43,+39.97%,"2.50 to 1",5.17%,45.1%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,637.00,Put,7.97,639.24,-1.06%,0.76,2.24,+33.93%,"2.95 to 1",5.17%,40.8%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,638.00,Put,8.23,639.5,-1.02%,0.5,1.5,+33.33%,"3.00 to 1",5.17%,41.1%
SPY,646.07,2025-10-17,50,640.00,Put,8.73,639.00,Put,8.49,639.76,-0.98%,0.24,0.76,+31.58%,"3.17 to 1",5.17%,41.5%
"Downloaded from Barchart.com as of 08-28-2025 09:38am CDT"
