Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Profit Prob"
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,169.00,Call,18.6,166.35,-4.33%,2.65,4.35,+60.92%,"1.64 to 1",6.42%,58.0%
NVDA,173.88,2026-01-16,140,160.00,Call,26,170.00,Call,19.9,166.1,-4.47%,3.9,6.1,+63.93%,"1.56 to 1",6.42%,57.5%
BAC,50.84,2025-11-21,84,49.00,Call,3.7,50.00,Call,3,49.7,-2.24%,0.3,0.7,+42.86%,"2.33 to 1",6.56%,57.5%
AAPL,232.5,2025-12-19,112,220.00,Call,21.65,230.00,Call,14.95,226.7,-2.49%,3.3,6.7,+49.25%,"2.03 to 1",14.55%,57.5%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,170.00,Call,18.05,166.9,-4.01%,3.1,4.9,+63.27%,"1.58 to 1",6.42%,57.4%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,168.00,Call,19.15,166.9,-4.01%,1.1,1.9,+57.89%,"1.73 to 1",6.42%,57.4%
BABA,136.4,2025-12-19,112,125.00,Call,19,135.00,Call,13.15,130.85,-4.07%,4.15,5.85,+70.94%,"1.41 to 1",24.24%,57.4%
S,18.5,2025-12-19,112,17.00,Call,2.85,18.00,Call,2.2,17.65,-4.59%,0.35,0.65,+53.85%,"1.86 to 1",12.30%,57.3%
AFRM,88.57,2026-01-16,140,80.00,Call,17.75,85.00,Call,14.9,82.85,-6.46%,2.15,2.85,+75.44%,"1.33 to 1",7.79%,57.1%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,172.00,Call,16.95,167.3,-3.78%,4.7,7.3,+64.38%,"1.55 to 1",6.42%,57.0%
NVDA,173.88,2026-01-16,140,160.00,Call,26,171.00,Call,19.35,166.65,-4.16%,4.35,6.65,+65.41%,"1.53 to 1",6.42%,57.0%
NVDA,173.88,2025-11-21,84,165.00,Call,19.05,170.00,Call,15.95,168.1,-3.32%,1.9,3.1,+61.29%,"1.63 to 1",6.42%,57.0%
AAPL,232.5,2025-12-19,112,210.00,Call,29.25,235.00,Call,12.15,227.1,-2.32%,7.9,17.1,+46.20%,"2.16 to 1",14.55%,57.0%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,168.00,Call,19.15,167.35,-3.76%,0.65,1.35,+48.15%,"2.08 to 1",6.42%,57.0%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,169.00,Call,18.6,167.45,-3.70%,1.55,2.45,+63.27%,"1.58 to 1",6.42%,56.9%
BABA,136.4,2026-01-16,140,125.00,Call,20.25,135.00,Call,14.4,130.85,-4.07%,4.15,5.85,+70.94%,"1.41 to 1",24.24%,56.8%
SOFI,25.5,2025-11-21,84,23.00,Call,4.65,25.00,Call,3.45,24.2,-5.10%,0.8,1.2,+66.67%,"1.50 to 1",18.31%,56.7%
OXY,47.66,2025-11-21,84,45.00,Call,4.45,47.50,Call,2.92,46.53,-2.37%,0.97,1.53,+63.40%,"1.58 to 1",14.83%,56.6%
AMD,162.96,2026-01-16,140,150.00,Call,26.15,160.00,Call,20.35,155.8,-4.39%,4.2,5.8,+72.41%,"1.38 to 1",11.77%,56.5%
BRK.B,505.58,2026-01-16,140,490.00,Call,35.45,500.00,Call,28.5,496.95,-1.71%,3.05,6.95,+43.88%,"2.28 to 1",4.94%,56.5%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,173.00,Call,16.4,167.85,-3.47%,5.15,7.85,+65.61%,"1.52 to 1",6.42%,56.4%
GOOG,212.4,2026-01-16,140,200.00,Call,24.6,210.00,Call,18.4,206.2,-2.92%,3.8,6.2,+61.29%,"1.63 to 1",23.15%,56.4%
BE,53.21,2025-11-21,84,49.00,Call,11.4,50.00,Call,10.8,49.6,-6.78%,0.4,0.6,+66.67%,"1.50 to 1",71.84%,56.4%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,169.00,Call,18.6,167.9,-3.44%,1.1,1.9,+57.89%,"1.73 to 1",6.42%,56.4%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,172.00,Call,16.95,168,-3.38%,4,6,+66.67%,"1.50 to 1",6.42%,56.3%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,170.00,Call,18.05,168,-3.38%,2,3,+66.67%,"1.50 to 1",6.42%,56.3%
NVDA,173.88,2026-01-16,140,165.00,Call,22.9,169.00,Call,20.45,167.45,-3.70%,1.55,2.45,+63.27%,"1.58 to 1",6.42%,56.2%
S,18.5,2026-01-16,140,17.00,Call,3.1,18.00,Call,2.4,17.7,-4.32%,0.3,0.7,+42.86%,"2.33 to 1",12.30%,56.2%
INTC,24.44,2025-11-21,84,23.00,Call,3.15,24.00,Call,2.55,23.6,-3.44%,0.4,0.6,+66.67%,"1.50 to 1",7.21%,56.0%
NVDA,173.88,2026-01-16,140,160.00,Call,26,173.00,Call,18.3,167.7,-3.55%,5.3,7.7,+68.83%,"1.45 to 1",6.42%,56.0%
AMZN,228.52,2025-12-19,112,220.00,Call,21,225.00,Call,17.8,223.2,-2.33%,1.8,3.2,+56.25%,"1.78 to 1",1.48%,56.0%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,174.00,Call,15.9,168.35,-3.18%,5.65,8.35,+67.66%,"1.48 to 1",6.42%,55.9%
NVDA,173.88,2025-11-21,84,160.00,Call,22.3,175.00,Call,13.25,169.05,-2.78%,5.95,9.05,+65.75%,"1.52 to 1",6.42%,55.8%
SOFI,25.5,2026-01-16,140,23.00,Call,5.4,25.00,Call,4.3,24.1,-5.49%,0.9,1.1,+81.82%,"1.22 to 1",18.31%,55.8%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,170.00,Call,18.05,168.45,-3.12%,1.55,2.45,+63.27%,"1.58 to 1",6.42%,55.8%
INTC,24.44,2025-11-21,84,22.00,Call,3.75,25.00,Call,2.11,23.64,-3.27%,1.36,1.64,+82.93%,"1.21 to 1",7.21%,55.7%
GOOGL,211.67,2026-01-16,140,200.00,Call,24.2,210.00,Call,18.05,206.15,-2.61%,3.85,6.15,+62.60%,"1.60 to 1",24.06%,55.7%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,173.00,Call,16.4,168.55,-3.07%,4.45,6.55,+67.94%,"1.47 to 1",6.42%,55.7%
NVDA,173.88,2026-01-16,140,165.00,Call,22.9,170.00,Call,19.9,168,-3.38%,2,3,+66.67%,"1.50 to 1",6.42%,55.7%
COMM,16.13,2026-01-16,140,15.00,Call,2.2,16.00,Call,1.55,15.65,-2.98%,0.35,0.65,+53.85%,"1.86 to 1",2.14%,55.6%
NVDA,173.88,2025-12-19,112,168.00,Call,19.25,169.00,Call,18.6,168.65,-3.01%,0.35,0.65,+53.85%,"1.86 to 1",6.42%,55.6%
BABA,136.4,2025-11-21,84,130.00,Call,14.3,135.00,Call,11.55,132.75,-2.68%,2.25,2.75,+81.82%,"1.22 to 1",24.24%,55.5%
NVDA,173.88,2026-01-16,140,160.00,Call,26,174.00,Call,17.8,168.2,-3.27%,5.8,8.2,+70.73%,"1.41 to 1",6.42%,55.5%
INTC,24.44,2025-12-19,112,23.00,Call,3.45,24.00,Call,2.86,23.59,-3.48%,0.41,0.59,+69.49%,"1.44 to 1",7.21%,55.5%
UNH,305.05,2025-11-21,84,280.00,Call,37.95,310.00,Call,20.45,297.5,-2.48%,12.5,17.5,+71.43%,"1.40 to 1",23.56%,55.4%
OXY,47.66,2026-01-16,140,45.00,Call,5.15,47.50,Call,3.65,46.5,-2.43%,1,1.5,+66.67%,"1.50 to 1",14.83%,55.3%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,175.00,Call,15.4,168.85,-2.89%,6.15,8.85,+69.49%,"1.44 to 1",6.42%,55.3%
BABA,136.4,2025-11-21,84,125.00,Call,17.3,140.00,Call,9.4,132.9,-2.57%,7.1,7.9,+89.87%,"1.11 to 1",24.24%,55.3%
INTC,24.44,2026-01-16,140,23.00,Call,3.7,24.00,Call,3.15,23.55,-3.64%,0.45,0.55,+81.82%,"1.22 to 1",7.21%,55.2%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,174.00,Call,15.9,169.05,-2.78%,4.95,7.05,+70.21%,"1.42 to 1",6.42%,55.1%
NVDA,173.88,2026-01-16,140,165.00,Call,22.9,171.00,Call,19.35,168.55,-3.07%,2.45,3.55,+69.01%,"1.45 to 1",6.42%,55.1%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,172.00,Call,16.95,169.1,-2.75%,2.9,4.1,+70.73%,"1.41 to 1",6.42%,55.1%
AAPL,232.5,2026-01-16,140,225.00,Call,19.95,230.00,Call,16.75,228.2,-1.85%,1.8,3.2,+56.25%,"1.78 to 1",14.55%,55.0%
NVDA,173.88,2025-12-19,112,168.00,Call,19.25,170.00,Call,18.05,169.2,-2.69%,0.8,1.2,+66.67%,"1.50 to 1",6.42%,55.0%
NVDA,173.88,2026-01-16,140,160.00,Call,26,175.00,Call,17.25,168.75,-2.95%,6.25,8.75,+71.43%,"1.40 to 1",6.42%,54.9%
BABA,136.4,2025-12-19,112,130.00,Call,15.9,135.00,Call,13.15,132.75,-2.68%,2.25,2.75,+81.82%,"1.22 to 1",24.24%,54.9%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,176.00,Call,14.9,169.35,-2.61%,6.65,9.35,+71.12%,"1.41 to 1",6.42%,54.8%
IREN,26.98,2025-11-21,84,25.00,Call,5.7,26.00,Call,5.15,25.55,-5.30%,0.45,0.55,+81.82%,"1.22 to 1",28.34%,54.8%
B,26.69,2025-12-19,112,25.00,Call,2.94,27.00,Call,1.82,26.12,-2.14%,0.88,1.12,+78.57%,"1.27 to 1",60.60%,54.8%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,175.00,Call,15.4,169.55,-2.49%,5.45,7.55,+72.19%,"1.39 to 1",6.42%,54.6%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,172.00,Call,16.95,169.55,-2.49%,2.45,3.55,+69.01%,"1.45 to 1",6.42%,54.6%
BABA,136.4,2025-12-19,112,125.00,Call,19,140.00,Call,11,133,-2.49%,7,8,+87.50%,"1.14 to 1",24.24%,54.5%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,173.00,Call,16.4,169.65,-2.43%,3.35,4.65,+72.04%,"1.39 to 1",6.42%,54.5%
MDT,92.55,2025-11-21,84,90.00,Call,5.05,92.50,Call,3.45,91.6,-1.03%,0.9,1.6,+56.25%,"1.78 to 1",17.31%,54.5%
NVDA,173.88,2026-01-16,140,160.00,Call,26,176.00,Call,16.75,169.25,-2.66%,6.75,9.25,+72.97%,"1.37 to 1",6.42%,54.5%
NVDA,173.88,2025-12-19,112,169.00,Call,18.75,170.00,Call,18.05,169.7,-2.40%,0.3,0.7,+42.86%,"2.33 to 1",6.42%,54.4%
AAPL,232.5,2025-11-21,84,220.00,Call,19.85,235.00,Call,10.3,229.55,-1.27%,5.45,9.55,+57.07%,"1.75 to 1",14.55%,54.4%
SOFI,25.5,2025-11-21,84,23.00,Call,4.65,26.00,Call,3,24.65,-3.33%,1.35,1.65,+81.82%,"1.22 to 1",18.31%,54.3%
AMD,162.96,2026-01-16,140,150.00,Call,26.15,165.00,Call,17.95,158.2,-2.92%,6.8,8.2,+82.93%,"1.21 to 1",11.77%,54.3%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,177.00,Call,14.4,169.85,-2.32%,7.15,9.85,+72.59%,"1.38 to 1",6.42%,54.3%
AFRM,88.57,2026-01-16,140,80.00,Call,17.75,90.00,Call,12.6,85.15,-3.86%,4.85,5.15,+94.17%,"1.06 to 1",7.79%,54.2%
NVDA,173.88,2026-01-16,140,165.00,Call,22.9,173.00,Call,18.3,169.6,-2.46%,3.4,4.6,+73.91%,"1.35 to 1",6.42%,54.1%
SOFI,25.5,2026-01-16,140,23.00,Call,5.4,26.00,Call,3.9,24.5,-3.92%,1.5,1.5,+100.00%,"1.00 to 1",18.31%,54.1%
NVDA,173.88,2026-01-16,140,169.00,Call,20.55,170.00,Call,19.9,169.65,-2.43%,0.35,0.65,+53.85%,"1.86 to 1",6.42%,54.1%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,176.00,Call,14.9,170.05,-2.20%,5.95,8.05,+73.91%,"1.35 to 1",6.42%,54.1%
XOM,114.48,2025-11-21,84,110.00,Call,7.8,115.00,Call,4.55,113.25,-1.07%,1.75,3.25,+53.85%,"1.86 to 1",3.71%,54.1%
BABA,136.4,2026-01-16,140,125.00,Call,20.25,140.00,Call,12.15,133.1,-2.42%,6.9,8.1,+85.19%,"1.17 to 1",24.24%,54.0%
BABA,136.4,2026-01-16,140,130.00,Call,17.5,135.00,Call,14.4,133.1,-2.42%,1.9,3.1,+61.29%,"1.63 to 1",24.24%,54.0%
NVDA,173.88,2026-01-16,140,160.00,Call,26,177.00,Call,16.3,169.7,-2.40%,7.3,9.7,+75.26%,"1.33 to 1",6.42%,54.0%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,173.00,Call,16.4,170.1,-2.17%,2.9,4.1,+70.73%,"1.41 to 1",6.42%,54.0%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,174.00,Call,15.9,170.15,-2.15%,3.85,5.15,+74.76%,"1.34 to 1",6.42%,54.0%
AAPL,232.5,2025-12-19,112,220.00,Call,21.65,235.00,Call,12.15,229.5,-1.29%,5.5,9.5,+57.89%,"1.73 to 1",14.55%,53.9%
AAPL,232.5,2025-12-19,112,210.00,Call,29.25,240.00,Call,9.7,229.55,-1.27%,10.45,19.55,+53.45%,"1.87 to 1",14.55%,53.8%
NVDA,173.88,2025-12-19,112,168.00,Call,19.25,172.00,Call,16.95,170.3,-2.06%,1.7,2.3,+73.91%,"1.35 to 1",6.42%,53.8%
LUMN,4.97,2025-12-19,112,4.50,Call,1,5.00,Call,0.7,4.8,-3.42%,0.2,0.3,+66.67%,"1.50 to 1",11.55%,53.7%
NVDA,173.88,2025-11-21,84,165.00,Call,19.05,175.00,Call,13.25,170.8,-1.77%,4.2,5.8,+72.41%,"1.38 to 1",6.42%,53.7%
F,11.77,2025-11-21,84,11.00,Call,1.19,12.00,Call,0.59,11.6,-1.44%,0.4,0.6,+66.67%,"1.50 to 1",4.55%,53.7%
NVDA,173.88,2026-01-16,140,165.00,Call,22.9,174.00,Call,17.8,170.1,-2.17%,3.9,5.1,+76.47%,"1.31 to 1",6.42%,53.6%
NVDA,173.88,2026-01-16,140,160.00,Call,26,178.00,Call,15.8,170.2,-2.12%,7.8,10.2,+76.47%,"1.31 to 1",6.42%,53.5%
NVDA,173.88,2026-01-16,140,169.00,Call,20.55,171.00,Call,19.35,170.2,-2.12%,0.8,1.2,+66.67%,"1.50 to 1",6.42%,53.5%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,177.00,Call,14.4,170.55,-1.92%,6.45,8.55,+75.44%,"1.33 to 1",6.42%,53.5%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,174.00,Call,15.9,170.6,-1.89%,3.4,4.6,+73.91%,"1.35 to 1",6.42%,53.5%
IREN,26.98,2025-11-21,84,25.00,Call,5.7,27.00,Call,4.75,25.95,-3.82%,1.05,0.95,+110.53%,"0.90 to 1",28.34%,53.4%
TSLA,334.18,2026-01-16,140,320.00,Call,51.8,330.00,Call,46.65,325.15,-2.70%,4.85,5.15,+94.17%,"1.06 to 1",1.88%,53.4%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,175.00,Call,15.4,170.65,-1.86%,4.35,5.65,+76.99%,"1.30 to 1",6.42%,53.4%
NVDA,173.88,2025-12-19,112,169.00,Call,18.75,172.00,Call,16.95,170.8,-1.77%,1.2,1.8,+66.67%,"1.50 to 1",6.42%,53.3%
PLTR,156.26,2025-11-21,84,150.00,Call,21.25,155.00,Call,18.5,152.75,-2.25%,2.25,2.75,+81.82%,"1.22 to 1",14.30%,53.2%
NVDA,173.88,2025-12-19,112,168.00,Call,19.25,173.00,Call,16.4,170.85,-1.74%,2.15,2.85,+75.44%,"1.33 to 1",6.42%,53.2%
T,29.2,2026-01-16,140,27.00,Call,3.1,30.00,Call,1.23,28.87,-1.13%,1.13,1.87,+60.43%,"1.65 to 1",11.62%,53.2%
SOUN,12.95,2026-01-16,140,12.00,Call,2.93,13.00,Call,2.47,12.46,-3.78%,0.54,0.46,+117.39%,"0.85 to 1",14.06%,53.2%
TSLA,334.18,2025-11-21,84,325.00,Call,39.1,330.00,Call,36.4,327.7,-1.94%,2.3,2.7,+85.19%,"1.17 to 1",1.88%,53.1%
AMZN,228.52,2025-11-21,84,220.00,Call,19,230.00,Call,12.95,226.05,-1.08%,3.95,6.05,+65.29%,"1.53 to 1",1.48%,53.1%
NVDA,173.88,2026-01-16,140,160.00,Call,26,179.00,Call,15.35,170.65,-1.86%,8.35,10.65,+78.40%,"1.28 to 1",6.42%,53.1%
NVDA,173.88,2026-01-16,140,165.00,Call,22.9,175.00,Call,17.25,170.65,-1.86%,4.35,5.65,+76.99%,"1.30 to 1",6.42%,53.1%
NVDA,173.88,2026-01-16,140,170.00,Call,20.05,171.00,Call,19.35,170.7,-1.83%,0.3,0.7,+42.86%,"2.33 to 1",6.42%,53.0%
INTC,24.44,2025-11-21,84,22.00,Call,3.75,26.00,Call,1.73,24.02,-1.72%,1.98,2.02,+98.02%,"1.02 to 1",7.21%,53.0%
GOOGL,211.67,2026-01-16,140,200.00,Call,24.2,215.00,Call,15.45,208.75,-1.38%,6.25,8.75,+71.43%,"1.40 to 1",24.06%,53.0%
NVDA,173.88,2025-11-21,84,160.00,Call,22.3,180.00,Call,10.9,171.4,-1.43%,8.6,11.4,+75.44%,"1.33 to 1",6.42%,53.0%
IREN,26.98,2025-12-19,112,25.00,Call,6.45,27.00,Call,5.5,25.95,-3.82%,1.05,0.95,+110.53%,"0.90 to 1",28.34%,53.0%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,175.00,Call,15.4,171.1,-1.60%,3.9,5.1,+76.47%,"1.31 to 1",6.42%,52.9%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,176.00,Call,14.9,171.15,-1.57%,4.85,6.15,+78.86%,"1.27 to 1",6.42%,52.9%
INTC,24.44,2025-11-21,84,23.00,Call,3.15,25.00,Call,2.11,24.04,-1.64%,0.96,1.04,+92.31%,"1.08 to 1",7.21%,52.9%
NVDA,173.88,2025-12-19,112,170.00,Call,18.15,172.00,Call,16.95,171.2,-1.54%,0.8,1.2,+66.67%,"1.50 to 1",6.42%,52.8%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,180.00,Call,13,171.25,-1.51%,8.75,11.25,+77.78%,"1.29 to 1",6.42%,52.8%
BMNR,44.15,2026-01-16,140,40.00,Call,14.2,45.00,Call,12.2,42,-4.87%,3,2,+150.00%,"0.67 to 1",0.00%,52.8%
PLTR,156.26,2026-01-16,140,150.00,Call,25.55,155.00,Call,22.9,152.65,-2.31%,2.35,2.65,+88.68%,"1.13 to 1",14.30%,52.7%
NVDA,173.88,2025-12-19,112,168.00,Call,19.25,174.00,Call,15.9,171.35,-1.46%,2.65,3.35,+79.10%,"1.26 to 1",6.42%,52.7%
NVDA,173.88,2025-12-19,112,169.00,Call,18.75,173.00,Call,16.4,171.35,-1.46%,1.65,2.35,+70.21%,"1.42 to 1",6.42%,52.7%
NVDA,173.88,2026-01-16,140,160.00,Call,26,180.00,Call,14.9,171.1,-1.60%,8.9,11.1,+80.18%,"1.25 to 1",6.42%,52.7%
BE,53.21,2025-11-21,84,49.00,Call,11.4,55.00,Call,8.7,51.7,-2.84%,3.3,2.7,+122.22%,"0.82 to 1",71.84%,52.6%
INTC,24.44,2025-12-19,112,23.00,Call,3.45,25.00,Call,2.42,24.03,-1.68%,0.97,1.03,+94.17%,"1.06 to 1",7.21%,52.6%
NVDA,173.88,2026-01-16,140,165.00,Call,22.9,176.00,Call,16.75,171.15,-1.57%,4.85,6.15,+78.86%,"1.27 to 1",6.42%,52.6%
INTC,24.44,2026-01-16,140,23.00,Call,3.7,25.00,Call,2.71,23.99,-1.84%,1.01,0.99,+102.02%,"0.98 to 1",7.21%,52.6%
RIOT,13.85,2026-01-16,140,13.00,Call,2.91,14.00,Call,2.45,13.46,-2.82%,0.54,0.46,+117.39%,"0.85 to 1",7.85%,52.6%
IREN,26.98,2026-01-16,140,25.00,Call,7.05,27.00,Call,6.05,26,-3.63%,1,1,+100.00%,"1.00 to 1",28.34%,52.6%
BABA,136.4,2025-11-21,84,125.00,Call,17.3,145.00,Call,7.6,134.7,-1.25%,10.3,9.7,+106.19%,"0.94 to 1",24.24%,52.5%
UNH,305.05,2025-11-21,84,280.00,Call,37.95,320.00,Call,16.45,301.5,-1.16%,18.5,21.5,+86.05%,"1.16 to 1",23.56%,52.5%
NVDA,173.88,2026-01-16,140,169.00,Call,20.55,173.00,Call,18.3,171.25,-1.51%,1.75,2.25,+77.78%,"1.29 to 1",6.42%,52.5%
SOFI,25.5,2025-11-21,84,23.00,Call,4.65,27.00,Call,2.63,25.02,-1.88%,1.98,2.02,+98.02%,"1.02 to 1",18.31%,52.4%
NVDA,173.88,2025-12-19,112,166.00,Call,20.5,176.00,Call,14.9,171.6,-1.31%,4.4,5.6,+78.57%,"1.27 to 1",6.42%,52.4%
CELH,62.24,2026-01-16,140,60.00,Call,9.15,61.67,Call,8.05,61.1,-1.83%,0.57,1.1,+51.82%,"1.93 to 1",10.06%,52.4%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,177.00,Call,14.4,171.65,-1.28%,5.35,6.65,+80.45%,"1.24 to 1",6.42%,52.4%
AMD,162.96,2026-01-16,140,150.00,Call,26.15,170.00,Call,15.75,160.4,-1.57%,9.6,10.4,+92.31%,"1.08 to 1",11.77%,52.3%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,181.00,Call,12.55,171.7,-1.25%,9.3,11.7,+79.49%,"1.26 to 1",6.42%,52.3%
NVDA,173.88,2025-12-19,112,170.00,Call,18.15,173.00,Call,16.4,171.75,-1.22%,1.25,1.75,+71.43%,"1.40 to 1",6.42%,52.3%
OPEN,4.39,2025-11-21,84,4.00,Call,1.54,4.50,Call,1.35,4.19,-4.56%,0.31,0.19,+163.16%,"0.61 to 1",19.76%,52.2%
SOFI,25.5,2026-01-16,140,23.00,Call,5.4,27.00,Call,3.45,24.95,-2.16%,2.05,1.95,+105.13%,"0.95 to 1",18.31%,52.2%
BABA,136.4,2025-11-21,84,130.00,Call,14.3,140.00,Call,9.4,134.9,-1.10%,5.1,4.9,+104.08%,"0.96 to 1",24.24%,52.2%
NVDA,173.88,2026-01-16,140,160.00,Call,26,181.00,Call,14.45,171.55,-1.34%,9.45,11.55,+81.82%,"1.22 to 1",6.42%,52.2%
CELH,62.24,2025-11-21,84,60.00,Call,7.65,62.50,Call,6.3,61.35,-1.43%,1.15,1.35,+85.19%,"1.17 to 1",10.06%,52.2%
RGTI,16.28,2026-01-16,140,15.00,Call,4.05,17.00,Call,3.25,15.8,-2.95%,1.2,0.8,+150.00%,"0.67 to 1",11.85%,52.2%
